symbol,signal,score,price,change_24h,support,resistance
BTC,NEUTRAL,57,74671.1,0.748,70937.545,78404.65500000001
ETH,NEUTRAL,57,2338.89,0.489,2221.9455,2455.8345
SOL,BUY,63,85.04,2.298,80.788,89.29200000000002
