symbol,signal,score,price,change_24h,support,resistance
BTC,NEUTRAL,57,74646.06,0.681,70913.757,78378.363
ETH,NEUTRAL,57,2338.08,0.42,2221.176,2454.984
SOL,BUY,63,84.99,2.188,80.7405,89.23949999999999
