symbol,signal,score,price,change_24h,support,resistance
BTC,NEUTRAL,57,74720.0,0.884,70984.0,78456.0
ETH,NEUTRAL,57,2341.32,0.698,2224.254,2458.3860000000004
SOL,BUY,63,85.12,2.431,80.864,89.376
