symbol,signal,score,price,change_24h,support,resistance
BTC,NEUTRAL,57,74680.09,0.76,70946.08549999999,78414.0945
ETH,NEUTRAL,57,2339.29,0.483,2222.3255,2456.2545
SOL,BUY,63,85.07,2.309,80.81649999999999,89.3235
