symbol,signal,score,price,change_24h,support,resistance
BTC,NEUTRAL,57,74719.99,0.913,70983.9905,78455.98950000001
ETH,NEUTRAL,57,2341.01,0.7,2223.9595,2458.0605000000005
SOL,BUY,63,85.12,2.443,80.864,89.376
