No,窗口开始 (ET),结果,开盘价 ($),结算价 ($),成交量 ($)
465,04-12 19:45:00,Up,71072.19,71141.62,89883.10
466,04-12 19:50:00,Up,71141.62,71214.93,133136.18
467,04-12 19:55:00,Down,71214.93,71181.54,93556.56
468,04-12 20:00:00,Down,71181.54,71180.22,96202.21
469,04-12 20:05:00,Down,71180.22,71135.73,109083.67
470,04-12 20:10:00,Up,71135.73,71141.00,133327.61
471,04-12 20:15:00,Down,71141.00,71116.21,155964.48
472,04-12 20:20:00,Down,71116.21,71099.46,130375.22
473,04-12 20:25:00,Up,71099.46,71106.26,224676.27
474,04-12 20:30:00,Up,71106.26,71155.07,95091.94
475,04-12 20:35:00,Down,71155.07,71128.21,136024.75
476,04-12 20:40:00,Up,71128.21,71160.92,72481.43
477,04-12 20:45:00,Down,71160.92,71146.98,81857.87
478,04-12 20:50:00,Down,71146.98,71132.00,96907.81
479,04-12 20:55:00,Up,71132.00,71204.73,83795.77
480,04-12 21:00:00,Down,71204.73,71178.08,103606.81
481,04-12 21:05:00,Down,71178.08,71140.80,61005.57
482,04-12 21:10:00,Down,71140.80,71015.19,159219.71
483,04-12 21:15:00,Up,71015.19,71066.78,88401.63
484,04-12 21:20:00,Up,71066.78,71135.89,46569.88
485,04-12 21:25:00,Up,71135.89,71230.88,71204.77
486,04-12 21:30:00,Down,71230.88,71210.10,93655.80
487,04-12 21:35:00,Down,71210.10,71070.00,68546.82
488,04-12 21:40:00,Down,71070.00,71063.13,125387.71
489,04-12 21:45:00,Up,71063.13,71066.16,104054.48
490,04-12 21:50:00,Up,71066.16,71078.51,101866.98
491,04-12 21:55:00,Up,71078.51,71088.00,100707.41
492,04-12 22:00:00,Up,71088.00,71128.03,177863.55
493,04-12 22:05:00,Down,71128.03,71045.89,78381.36
494,04-12 22:10:00,Up,71045.89,71070.04,93811.30
495,04-12 22:15:00,Up,71070.04,71146.47,94112.94
496,04-12 22:20:00,Down,71146.47,71026.68,60194.59
497,04-12 22:25:00,Up,71026.68,71045.89,91228.99
498,04-12 22:30:00,Down,71045.89,71036.20,78083.27
499,04-12 22:35:00,Down,71036.20,70964.22,121494.14
500,04-12 22:40:00,Up,70964.22,70986.43,69038.53
501,04-12 22:45:00,Down,70986.43,70969.75,93656.24
502,04-12 22:50:00,Up,70969.75,70992.23,56992.08
503,04-12 22:55:00,Down,70992.23,70987.88,88174.26
504,04-12 23:00:00,Up,70987.88,70992.03,94480.21
505,04-12 23:05:00,Down,70992.03,70952.60,86850.12
506,04-12 23:10:00,Up,70952.60,70959.09,86335.51
507,04-12 23:15:00,Up,70959.09,70969.33,81006.62
508,04-12 23:20:00,Up,70969.33,70974.10,96702.80
509,04-12 23:25:00,Up,70974.10,71039.48,78242.26
510,04-12 23:30:00,Up,71039.48,71102.94,77054.36
511,04-12 23:35:00,Up,71102.94,71123.42,100358.01
512,04-12 23:40:00,Down,71123.42,71027.88,107380.12
513,04-12 23:45:00,Down,71027.88,70968.92,99003.66
514,04-12 23:50:00,Down,70968.92,70924.24,128659.88
515,04-12 23:55:00,Down,70924.24,70900.84,115104.52
516,04-13 00:00:00,Down,70900.84,70891.04,113098.10
517,04-13 00:05:00,Down,70891.04,70826.32,99224.80
518,04-13 00:10:00,Up,70826.32,70830.30,175421.02
519,04-13 00:15:00,Up,70830.30,70834.42,65598.35
520,04-13 00:20:00,Up,70834.42,70844.42,85474.86
521,04-13 00:25:00,Up,70844.42,70866.89,81946.96
522,04-13 00:30:00,Down,70866.89,70794.78,113564.98
523,04-13 00:35:00,Down,70794.78,70714.85,122385.22
524,04-13 00:40:00,Up,70714.85,70752.27,72791.58
525,04-13 00:45:00,Up,70752.27,70828.68,105546.69
526,04-13 00:50:00,Up,70828.68,70850.32,95283.38
527,04-13 00:55:00,Up,70850.32,70890.49,106027.75
528,04-13 01:00:00,Up,70890.49,70983.87,138298.01
529,04-13 01:05:00,Up,70983.87,70999.82,82382.92
530,04-13 01:10:00,Up,70999.82,71013.28,109783.23
531,04-13 01:15:00,Up,71013.28,71047.93,112361.67
532,04-13 01:20:00,Up,71047.93,71076.57,103780.23
533,04-13 01:25:00,Down,71076.57,71030.17,130195.89
534,04-13 01:30:00,Down,71030.17,71022.90,138644.89
535,04-13 01:35:00,Up,71022.90,71055.81,91989.47
536,04-13 01:40:00,Down,71055.81,71052.85,108849.54
537,04-13 01:45:00,Up,71052.85,71055.08,105235.98
538,04-13 01:50:00,Down,71055.08,71037.53,74253.95
539,04-13 01:55:00,Down,71037.53,71032.42,76241.97
540,04-13 02:00:00,Down,71032.42,71015.88,94416.96
541,04-13 02:05:00,Down,71015.88,70930.57,117114.53
542,04-13 02:10:00,Down,70930.57,70908.25,100616.05
543,04-13 02:15:00,Down,70908.25,70862.89,82901.81
544,04-13 02:20:00,Down,70862.89,70718.58,118697.90
545,04-13 02:25:00,Up,70718.58,70719.99,139679.66
546,04-13 02:30:00,Down,70719.99,70718.24,96510.15
547,04-13 02:35:00,Up,70718.24,70793.47,137614.21
548,04-13 02:40:00,Down,70793.47,70782.06,123821.22
549,04-13 02:45:00,Up,70782.06,70787.96,113241.06
550,04-13 02:50:00,Down,70787.96,70787.32,146260.30
551,04-13 02:55:00,Up,70787.32,70828.23,86667.29
552,04-13 03:00:00,Up,70828.23,70856.40,130378.83
553,04-13 03:05:00,Down,70856.40,70745.61,119350.11
554,04-13 03:10:00,Down,70745.61,70735.47,90894.55
555,04-13 03:15:00,Down,70735.47,70688.32,95761.09
556,04-13 03:20:00,Up,70688.32,70763.62,97428.41
557,04-13 03:25:00,Up,70763.62,70766.11,105492.51
558,04-13 03:30:00,Down,70766.11,70742.78,85381.24
559,04-13 03:35:00,Down,70742.78,70700.47,89488.86
560,04-13 03:40:00,Down,70700.47,70607.10,141752.07
561,04-13 03:45:00,Up,70607.10,70629.18,98469.00
562,04-13 03:50:00,Up,70629.18,70651.83,115300.35
563,04-13 03:55:00,Up,70651.83,70689.53,81699.65
564,04-13 04:00:00,Up,70689.53,70838.67,156595.09
565,04-13 04:05:00,Down,70838.67,70709.80,112994.96
566,04-13 04:10:00,Up,70709.80,70717.51,87360.60
567,04-13 04:15:00,Down,70717.51,70698.43,129908.41
568,04-13 04:20:00,Up,70698.43,70752.92,75619.53
569,04-13 04:25:00,Up,70752.92,70798.03,73759.89
570,04-13 04:30:00,Up,70798.03,70821.70,85546.11
571,04-13 04:35:00,Down,70821.70,70815.43,101531.66
572,04-13 04:40:00,Down,70815.43,70798.03,103972.38
573,04-13 04:45:00,Down,70798.03,70785.30,78600.67
574,04-13 04:50:00,Down,70785.30,70779.50,72232.76
575,04-13 04:55:00,Up,70779.50,70802.70,74891.04
576,04-13 05:00:00,Down,70802.70,70794.39,115039.99
577,04-13 05:05:00,Up,70794.39,70816.61,108379.27
578,04-13 05:10:00,Up,70816.61,70826.83,81979.80
579,04-13 05:15:00,Down,70826.83,70785.54,80578.34
580,04-13 05:20:00,Down,70785.54,70751.79,80448.40
581,04-13 05:25:00,Up,70751.79,70769.82,89138.23
582,04-13 05:30:00,Down,70769.82,70752.31,98680.58
583,04-13 05:35:00,Up,70752.31,70844.15,97280.68
584,04-13 05:40:00,Down,70844.15,70777.59,75819.55
585,04-13 05:45:00,Down,70777.59,70774.99,104355.05
586,04-13 05:50:00,Down,70774.99,70728.69,80694.31
587,04-13 05:55:00,Up,70728.69,70749.84,87877.53
588,04-13 06:00:00,Up,70749.84,70844.75,86328.84
589,04-13 06:05:00,Up,70844.75,70856.51,122309.91
590,04-13 06:10:00,Up,70856.51,70877.06,77748.05
591,04-13 06:15:00,Down,70877.06,70868.45,92373.69
592,04-13 06:20:00,Down,70868.45,70866.92,127055.14
593,04-13 06:25:00,Up,70866.92,70874.15,85097.26
594,04-13 06:30:00,Down,70874.15,70850.30,94617.79
595,04-13 06:35:00,Up,70850.30,70850.52,101969.29
596,04-13 06:40:00,Up,70850.52,70943.01,127425.41
597,04-13 06:45:00,Down,70943.01,70931.19,105031.23
598,04-13 06:50:00,Up,70931.19,70959.39,100651.14
599,04-13 06:55:00,Down,70959.39,70934.31,76373.94
600,04-13 07:00:00,Down,70934.31,70863.26,132084.23
601,04-13 07:05:00,Up,70863.26,71021.67,206569.44
602,04-13 07:10:00,Down,71021.67,70972.63,90123.50
603,04-13 07:15:00,Down,70972.63,70941.94,82528.30
604,04-13 07:20:00,Down,70941.94,70902.21,82020.25
605,04-13 07:25:00,Down,70902.21,70864.32,75279.27
606,04-13 07:30:00,Up,70864.32,70872.08,147411.47
607,04-13 07:35:00,Down,70872.08,70811.88,91621.80
608,04-13 07:40:00,Up,70811.88,70843.47,101611.15
609,04-13 07:45:00,Up,70843.47,70895.65,82909.55
610,04-13 07:50:00,Up,70895.65,71216.36,117146.88
611,04-13 07:55:00,Down,71216.36,71087.60,130926.90
612,04-13 08:00:00,Up,71087.60,71177.59,107210.83
613,04-13 08:05:00,Down,71177.59,71102.61,136884.72
614,04-13 08:10:00,Up,71102.61,71213.48,87548.88
615,04-13 08:15:00,Down,71213.48,71206.60,119777.66
616,04-13 08:20:00,Up,71206.60,71229.30,112439.83
617,04-13 08:25:00,Down,71229.30,71193.59,140049.74
618,04-13 08:30:00,Down,71193.59,71109.19,136640.48
619,04-13 08:35:00,Down,71109.19,70860.94,108554.57
620,04-13 08:40:00,Up,70860.94,71043.91,168846.08
621,04-13 08:45:00,Up,71043.91,71587.85,124663.20
622,04-13 08:50:00,Down,71587.85,71488.21,213566.66
623,04-13 08:55:00,Up,71488.21,71671.24,136876.28
624,04-13 09:00:00,Down,71671.24,71541.87,127961.33
625,04-13 09:05:00,Down,71541.87,71498.31,116348.77
626,04-13 09:10:00,Up,71498.31,71645.86,101869.33
627,04-13 09:15:00,Down,71645.86,71518.15,163196.53
628,04-13 09:20:00,Up,71518.15,71656.99,154172.21
629,04-13 09:25:00,Up,71656.99,71657.47,150867.52
630,04-13 09:30:00,Up,71657.47,71805.45,115541.25
631,04-13 09:35:00,Up,71805.45,71820.93,121796.17
632,04-13 09:40:00,Up,71820.93,72014.97,106143.12
633,04-13 09:45:00,Down,72014.97,71985.32,181390.60
634,04-13 09:50:00,Up,71985.32,72066.47,131668.87
635,04-13 09:55:00,Up,72066.47,72432.57,130792.52
636,04-13 10:00:00,Down,72432.57,72102.40,175482.33
637,04-13 10:05:00,Down,72102.40,72036.74,152612.61
638,04-13 10:10:00,Down,72036.74,71978.77,119235.05
639,04-13 10:15:00,Down,71978.77,71896.16,128722.06
640,04-13 10:20:00,Up,71896.16,71932.53,104561.97
641,04-13 10:25:00,Up,71932.53,71989.49,107795.75
642,04-13 10:30:00,Down,71989.49,71768.12,146088.15
643,04-13 10:35:00,Down,71768.12,71766.91,250349.98
644,04-13 10:40:00,Up,71766.91,71868.43,102322.88
645,04-13 10:45:00,Down,71868.43,71861.33,113688.20
646,04-13 10:50:00,Down,71861.33,71760.30,113905.03
647,04-13 10:55:00,Up,71760.30,71889.91,83061.22
648,04-13 11:00:00,Down,71889.91,71825.19,116068.52
649,04-13 11:05:00,Up,71825.19,72000.53,206171.64
650,04-13 11:10:00,Up,72000.53,72054.66,111161.22
651,04-13 11:15:00,Up,72054.66,72134.66,120478.88
652,04-13 11:20:00,Up,72134.66,72245.88,131851.06
653,04-13 11:25:00,Up,72245.88,72266.35,147451.07
654,04-13 11:30:00,Down,72266.35,72253.54,191756.64
655,04-13 11:35:00,Up,72253.54,72318.53,136504.48
656,04-13 11:40:00,Up,72318.53,72334.54,161509.59
657,04-13 11:45:00,Up,72334.54,72348.77,138337.12
658,04-13 11:50:00,Down,72348.77,72116.91,196621.41
659,04-13 11:55:00,Up,72116.91,72234.44,127305.20
660,04-13 12:00:00,Up,72234.44,72283.14,137824.99
661,04-13 12:05:00,Up,72283.14,72298.47,286056.63
662,04-13 12:10:00,Up,72298.47,72333.49,121588.59
663,04-13 12:15:00,Up,72333.49,72407.25,111896.49
664,04-13 12:20:00,Down,72407.25,72310.74,114100.95
665,04-13 12:25:00,Up,72310.74,72461.96,152303.35
666,04-13 12:30:00,Up,72461.96,72504.76,159672.35
667,04-13 12:35:00,Down,72504.76,72454.06,128921.85
668,04-13 12:40:00,Up,72454.06,72474.62,123118.09
669,04-13 12:45:00,Down,72474.62,72448.20,120957.02
670,04-13 12:50:00,Down,72448.20,72193.53,197185.34
671,04-13 12:55:00,Down,72193.53,72178.19,130921.61
672,04-13 13:00:00,Up,72178.19,72187.72,115428.16
673,04-13 13:05:00,Up,72187.72,72204.04,121449.16
674,04-13 13:10:00,Up,72204.04,72221.17,79038.60
675,04-13 13:15:00,Up,72221.17,72251.96,97122.88
676,04-13 13:20:00,Down,72251.96,72126.60,108954.13
677,04-13 13:25:00,Up,72126.60,72206.60,112563.18
678,04-13 13:30:00,Up,72206.60,72371.41,85880.21
679,04-13 13:35:00,Down,72371.41,72331.72,89208.39
680,04-13 13:40:00,Up,72331.72,72375.07,91439.14
681,04-13 13:45:00,Down,72375.07,72357.91,105616.61
682,04-13 13:50:00,Up,72357.91,72426.49,92436.92
683,04-13 13:55:00,Up,72426.49,72459.53,93844.32
684,04-13 14:00:00,Down,72459.53,72385.07,101987.93
685,04-13 14:05:00,Down,72385.07,72347.63,88623.88
686,04-13 14:10:00,Up,72347.63,72348.87,117624.13
687,04-13 14:15:00,Up,72348.87,72570.44,116335.73
688,04-13 14:20:00,Up,72570.44,72791.56,117138.49
689,04-13 14:25:00,Up,72791.56,72881.35,114346.66
690,04-13 14:30:00,Up,72881.35,73120.77,115074.23
691,04-13 14:35:00,Up,73120.77,73164.27,177073.85
692,04-13 14:40:00,Down,73164.27,73039.67,119993.48
693,04-13 14:45:00,Up,73039.67,73290.72,99589.61
694,04-13 14:50:00,Up,73290.72,73478.60,169348.22
695,04-13 14:55:00,Down,73478.60,73373.43,161340.48
696,04-13 15:00:00,Down,73373.43,73316.10,123206.66
697,04-13 15:05:00,Down,73316.10,73310.91,111342.17
698,04-13 15:10:00,Down,73310.91,73112.88,89870.70
699,04-13 15:15:00,Down,73112.88,73100.89,138511.19
700,04-13 15:20:00,Down,73100.89,73056.31,105587.37
701,04-13 15:25:00,Up,73056.31,73126.84,117335.55
702,04-13 15:30:00,Up,73126.84,73254.24,82428.02
703,04-13 15:35:00,Down,73254.24,73180.28,134752.70
704,04-13 15:40:00,Up,73180.28,73264.19,101258.64
705,04-13 15:45:00,Down,73264.19,73238.31,91612.04
706,04-13 15:50:00,Down,73238.31,73131.76,70631.04
707,04-13 15:55:00,Up,73131.76,73185.45,112493.45
708,04-13 16:00:00,Down,73185.45,73127.92,78224.55
709,04-13 16:05:00,Up,73127.92,73240.44,98875.83
710,04-13 16:10:00,Up,73240.44,73261.11,112181.52
711,04-13 16:15:00,Down,73261.11,73186.53,86013.74
712,04-13 16:20:00,Up,73186.53,73193.48,132919.99
713,04-13 16:25:00,Down,73193.48,73156.25,66083.44
714,04-13 16:30:00,Up,73156.25,73232.37,85902.41
715,04-13 16:35:00,Up,73232.37,73296.61,93525.35
716,04-13 16:40:00,Down,73296.61,73293.86,109543.07
717,04-13 16:45:00,Down,73293.86,73293.49,289328.19
718,04-13 16:50:00,Down,73293.49,73260.51,61881.06
719,04-13 16:55:00,Down,73260.51,73208.54,78416.76
720,04-13 17:00:00,Up,73208.54,73324.34,109836.07
721,04-13 17:05:00,Up,73324.34,73356.18,145701.56
722,04-13 17:10:00,Up,73356.18,73789.56,110364.76
723,04-13 17:15:00,Up,73789.56,74209.50,257579.94
724,04-13 17:20:00,Up,74209.50,74263.97,159148.91
725,04-13 17:25:00,Down,74263.97,74161.65,109938.77
726,04-13 17:30:00,Up,74161.65,74322.94,128606.94
727,04-13 17:35:00,Down,74322.94,74141.04,89949.79
728,04-13 17:40:00,Up,74141.04,74285.45,127150.72
729,04-13 17:45:00,Up,74285.45,74372.74,126554.69
730,04-13 17:50:00,Up,74372.74,74665.41,119173.98
731,04-13 17:55:00,Down,74665.41,74656.09,135248.68
732,04-13 18:00:00,Up,74656.09,74675.86,165220.61
733,04-13 18:05:00,Up,74675.86,74782.63,104700.68
734,04-13 18:10:00,Down,74782.63,74683.49,117648.73
735,04-13 18:15:00,Down,74683.49,74641.53,104525.73
736,04-13 18:20:00,Down,74641.53,74636.33,219416.40
737,04-13 18:25:00,Up,74636.33,74754.96,105395.58
738,04-13 18:30:00,Up,74754.96,74812.53,139194.85
739,04-13 18:35:00,Down,74812.53,74723.52,86181.19
740,04-13 18:40:00,Down,74723.52,74587.73,113657.72
741,04-13 18:45:00,Down,74587.73,74519.60,102425.62
742,04-13 18:50:00,Up,74519.60,74590.24,89687.98
743,04-13 18:55:00,Down,74590.24,74437.95,102945.75
744,04-13 19:00:00,Up,74437.95,74473.38,89819.94
745,04-13 19:05:00,Down,74473.38,74352.90,70019.29
746,04-13 19:10:00,Up,74352.90,74357.92,173472.74
747,04-13 19:15:00,Up,74357.92,74419.37,94303.93
748,04-13 19:20:00,Down,74419.37,74331.01,119101.21
749,04-13 19:25:00,Down,74331.01,74289.56,127624.21
750,04-13 19:30:00,Down,74289.56,74255.49,124857.53
751,04-13 19:35:00,Up,74255.49,74411.82,119096.63
752,04-13 19:40:00,Up,74411.82,74440.47,101448.89
753,04-13 19:45:00,Down,74440.47,74312.07,82212.82
754,04-13 19:50:00,Down,74312.07,74179.66,147292.97
755,04-13 19:55:00,Up,74179.66,74189.02,314466.86
756,04-13 20:00:00,Up,74189.02,74193.29,139367.38
757,04-13 20:05:00,Up,74193.29,74294.44,97432.59
758,04-13 20:10:00,Up,74294.44,74326.96,151317.22
759,04-13 20:15:00,Up,74326.96,74338.11,122237.34
760,04-13 20:20:00,Down,74338.11,74331.84,139035.83
761,04-13 20:25:00,Down,74331.84,74325.43,71821.14
762,04-13 20:30:00,Down,74325.43,74271.12,90921.22
763,04-13 20:35:00,Up,74271.12,74292.98,113328.83
764,04-13 20:40:00,Up,74292.98,74348.55,78180.85
765,04-13 20:45:00,Up,74348.55,74375.27,108349.46
766,04-13 20:50:00,Up,74375.27,74428.64,90412.48
767,04-13 20:55:00,Down,74428.64,74412.54,82168.48
768,04-13 21:00:00,Up,74412.54,74413.73,103470.01
769,04-13 21:05:00,Up,74413.73,74483.24,69947.64
770,04-13 21:10:00,Up,74483.24,74514.66,85406.16
771,04-13 21:15:00,Up,74514.66,74539.87,100510.93
772,04-13 21:20:00,Down,74539.87,74499.44,96120.21
773,04-13 21:25:00,Down,74499.44,74428.59,71126.54
774,04-13 21:30:00,Down,74428.59,74349.23,65444.04
775,04-13 21:35:00,Up,74349.23,74437.00,87470.45
776,04-13 21:40:00,Up,74437.00,74462.74,60728.05
777,04-13 21:45:00,Down,74462.74,74459.59,244805.29
778,04-13 21:50:00,Down,74459.59,74353.56,92652.81
779,04-13 21:55:00,Up,74353.56,74360.63,108240.68
780,04-13 22:00:00,Down,74360.63,74348.74,113737.54
781,04-13 22:05:00,Up,74348.74,74441.61,114664.86
782,04-13 22:10:00,Down,74441.61,74369.37,89757.44
783,04-13 22:15:00,Up,74369.37,74392.54,137695.44
784,04-13 22:20:00,Down,74392.54,74310.58,110197.54
785,04-13 22:25:00,Up,74310.58,74317.99,160768.89
786,04-13 22:30:00,Up,74317.99,74380.74,99422.35
787,04-13 22:35:00,Up,74380.74,74410.30,79487.01
788,04-13 22:40:00,Up,74410.30,74494.79,75435.31
789,04-13 22:45:00,Down,74494.79,74459.00,81182.39
790,04-13 22:50:00,Down,74459.00,74456.46,90431.68
791,04-13 22:55:00,Up,74456.46,74465.32,84129.04
792,04-13 23:00:00,Down,74465.32,74452.66,76589.32
793,04-13 23:05:00,Up,74452.66,74482.24,69461.12
794,04-13 23:10:00,Up,74482.24,74492.13,96672.26
795,04-13 23:15:00,Up,74492.13,74503.70,127466.20
796,04-13 23:20:00,Down,74503.70,74477.43,95596.15
797,04-13 23:25:00,Up,74477.43,74524.96,124625.79
798,04-13 23:30:00,Down,74524.96,74451.20,136976.20
799,04-13 23:35:00,Up,74451.20,74473.98,131272.02
800,04-13 23:40:00,Down,74473.98,74409.00,76360.42
801,04-13 23:45:00,Up,74409.00,74436.36,80212.98
802,04-13 23:50:00,Down,74436.36,74410.59,61622.25
803,04-13 23:55:00,Up,74410.59,74413.44,92324.17
804,04-14 00:00:00,Down,74413.44,74359.93,79394.72
805,04-14 00:05:00,Up,74359.93,74360.97,136864.46
806,04-14 00:10:00,Down,74360.97,74360.04,119721.78
807,04-14 00:15:00,Up,74360.04,74377.94,91000.98
808,04-14 00:20:00,Down,74377.94,74372.01,129794.10
809,04-14 00:25:00,Down,74372.01,74366.14,134504.30
810,04-14 00:30:00,Down,74366.14,74327.33,122114.70
811,04-14 00:35:00,Up,74327.33,74328.02,227887.10
812,04-14 00:40:00,Down,74328.02,74317.65,89638.41
813,04-14 00:45:00,Down,74317.65,74294.56,2643.14
814,04-14 00:50:00,Down,74294.56,74248.06,94414.60
815,04-14 00:55:00,Down,74248.06,74228.19,91290.18
816,04-14 01:00:00,Up,74228.19,74290.08,145171.10
817,04-14 01:05:00,Up,74290.08,74353.94,95281.19
818,04-14 01:10:00,Down,74353.94,74349.23,66886.83
819,04-14 01:15:00,Up,74349.23,74421.85,60793.21
820,04-14 01:20:00,Up,74421.85,74455.69,99555.44
821,04-14 01:25:00,Down,74455.69,74407.05,106703.48
822,04-14 01:30:00,Up,74407.05,74420.98,139223.83
823,04-14 01:35:00,Up,74420.98,74451.49,86759.99
824,04-14 01:40:00,Down,74451.49,74409.41,121547.90
825,04-14 01:45:00,Up,74409.41,74463.64,93642.27
826,04-14 01:50:00,Up,74463.64,74529.26,112490.20
827,04-14 01:55:00,Up,74529.26,74552.78,85780.74
828,04-14 02:00:00,Up,74552.78,74612.64,146711.32
829,04-14 02:05:00,Up,74612.64,74944.51,138329.46
830,04-14 02:10:00,Down,74944.51,74798.51,147510.58
831,04-14 02:15:00,Down,74798.51,74695.42,118030.35
832,04-14 02:20:00,Down,74695.42,74638.77,116221.12
833,04-14 02:25:00,Up,74638.77,74697.62,145332.47
834,04-14 02:30:00,Down,74697.62,74589.26,145548.91
835,04-14 02:35:00,Down,74589.26,74589.15,188872.78
836,04-14 02:40:00,Down,74589.15,74523.32,127246.28
837,04-14 02:45:00,Down,74523.32,74510.38,146458.43
838,04-14 02:50:00,Up,74510.38,74561.24,85008.04
839,04-14 02:55:00,Up,74561.24,74573.53,135471.31
840,04-14 03:00:00,Down,74573.53,74564.73,110444.78
841,04-14 03:05:00,Up,74564.73,74574.56,105250.33
842,04-14 03:10:00,Down,74574.56,74561.65,99018.51
843,04-14 03:15:00,Up,74561.65,74562.86,127402.76
844,04-14 03:20:00,Down,74562.86,74541.36,85390.88
845,04-14 03:25:00,Up,74541.36,74661.33,78458.79
846,04-14 03:30:00,Up,74661.33,74818.17,108271.58
847,04-14 03:35:00,Down,74818.17,74814.55,143783.67
848,04-14 03:40:00,Down,74814.55,74685.40,109168.89
849,04-14 03:45:00,Up,74685.40,74761.38,74163.32
850,04-14 03:50:00,Down,74761.38,74734.97,134184.54
851,04-14 03:55:00,Up,74734.97,74778.72,74086.74
852,04-14 04:00:00,Down,74778.72,74732.12,81764.41
853,04-14 04:05:00,Up,74732.12,74775.11,92623.16
854,04-14 04:10:00,Up,74775.11,74824.45,93656.11
855,04-14 04:15:00,Down,74824.45,74800.26,99262.87
856,04-14 04:20:00,Down,74800.26,74708.07,72543.44
857,04-14 04:25:00,Down,74708.07,74702.13,97819.12
858,04-14 04:30:00,Down,74702.13,74680.51,86305.35
859,04-14 04:35:00,Up,74680.51,74696.96,109072.24
860,04-14 04:40:00,Down,74696.96,74537.17,111569.59
861,04-14 04:45:00,Down,74537.17,74471.28,90363.98
862,04-14 04:50:00,Up,74471.28,74480.45,82375.39
863,04-14 04:55:00,Up,74480.45,74526.52,83668.33
864,04-14 05:00:00,Down,74526.52,74487.29,68916.18
865,04-14 05:05:00,Up,74487.29,74532.79,67394.35
866,04-14 05:10:00,Up,74532.79,74570.63,80944.58
867,04-14 05:15:00,Down,74570.63,74561.01,99987.55
868,04-14 05:20:00,Up,74561.01,74592.35,79304.34
869,04-14 05:25:00,Down,74592.35,74582.89,81669.34
870,04-14 05:30:00,Up,74582.89,74606.31,95053.52
871,04-14 05:35:00,Down,74606.31,74423.25,69575.94
872,04-14 05:40:00,Down,74423.25,74384.71,83640.69
873,04-14 05:45:00,Up,74384.71,74416.43,78576.91
874,04-14 05:50:00,Down,74416.43,74385.28,109306.80
875,04-14 05:55:00,Down,74385.28,74369.38,127760.38
876,04-14 06:00:00,Up,74369.38,74423.77,73490.63
877,04-14 06:05:00,Up,74423.77,74448.93,89218.21
878,04-14 06:10:00,Down,74448.93,74418.21,71797.82
879,04-14 06:15:00,Up,74418.21,74447.78,64793.14
880,04-14 06:20:00,Down,74447.78,74418.28,119618.94
881,04-14 06:25:00,Down,74418.28,74379.61,81176.74
882,04-14 06:30:00,Down,74379.61,74370.73,68489.75
883,04-14 06:35:00,Up,74370.73,74413.48,70326.71
884,04-14 06:40:00,Down,74413.48,74343.32,85382.08
885,04-14 06:45:00,Up,74343.32,74441.37,71847.48
886,04-14 06:50:00,Down,74441.37,74389.10,90217.98
887,04-14 06:55:00,Up,74389.10,74399.34,113464.67
888,04-14 07:00:00,Up,74399.34,74448.44,99407.90
889,04-14 07:05:00,Down,73929.93,73853.97,84828.38
890,04-14 07:10:00,Down,74430.55,74321.08,98824.01
891,04-14 07:15:00,Up,74321.08,74395.96,70873.04
892,04-14 07:20:00,Down,74395.96,74321.90,87992.14
893,04-14 07:25:00,Up,74321.90,74333.90,162432.45
894,04-14 07:30:00,Up,74333.90,74371.46,141469.82
895,04-14 07:35:00,Down,74371.46,74359.57,211371.89
896,04-14 07:40:00,Down,74359.57,74327.37,90140.59
897,04-14 07:45:00,Up,74327.37,74401.49,74685.62
898,04-14 07:50:00,Up,74401.49,74418.63,97282.77
899,04-14 07:55:00,Up,74418.63,74474.69,129268.48
900,04-14 08:00:00,Up,74474.69,74619.65,134039.17
901,04-14 08:05:00,Down,74619.65,74608.92,101673.08
902,04-14 08:10:00,Down,74608.92,74601.35,105213.02
903,04-14 08:15:00,Up,74601.35,74648.57,140881.61
904,04-14 08:20:00,Up,74648.57,74737.44,83630.42
905,04-14 08:25:00,Down,74737.44,74537.84,102255.73
906,04-14 08:30:00,Up,74537.84,74770.09,144905.86
907,04-14 08:35:00,Up,74770.09,74895.40,189926.22
908,04-14 08:40:00,Up,74895.40,75229.51,223227.63
909,04-14 08:45:00,Down,75229.51,75177.36,240684.49
910,04-14 08:50:00,Up,75177.36,75398.70,183784.92
911,04-14 08:55:00,Up,75398.70,75579.83,128961.66
912,04-14 09:00:00,Down,75579.83,75453.85,183641.05
913,04-14 09:05:00,Up,75453.85,75605.38,175162.01
914,04-14 09:10:00,Up,75605.38,75611.01,188212.94
915,04-14 09:15:00,Down,75611.01,75596.44,191663.34
916,04-14 09:20:00,Up,75596.44,75657.28,158497.84
917,04-14 09:25:00,Up,75657.28,75892.41,119497.53
918,04-14 09:30:00,Down,75892.41,75682.16,266545.51
919,04-14 09:35:00,Down,75682.16,75484.06,191650.22
920,04-14 09:40:00,Down,75484.06,75438.98,146944.59
921,04-14 09:45:00,Down,75438.98,75232.78,131942.34
922,04-14 09:50:00,Up,75232.78,75294.55,137332.52
923,04-14 09:55:00,Down,75294.55,75069.75,96388.56
924,04-14 10:00:00,Down,75069.75,75051.39,171351.66
925,04-14 10:05:00,Down,75051.39,74735.90,150440.17
926,04-14 10:10:00,Up,74735.90,74791.36,156158.98
927,04-14 10:15:00,Up,74791.36,74830.73,124616.82
928,04-14 10:20:00,Up,74830.73,74944.20,117304.80
929,04-14 10:25:00,Down,74944.20,74842.34,119166.55
