timestamp,type,price,size,sl,tp,atr,level,trend,rsi,capital,pnl,reason,holding_hours,capital_after
2024-04-17 20:00:00,OPEN_LONG,60846.79,0.14591985924987275,59476.17464285714,63588.02071428572,913.7435714285722,bullish_s5_RSI25,bearish,25.639065749217465,10000.0,,,,
2024-04-18 01:00:00,OPEN_SHORT,61639.26,0.14481791087233375,63020.30464285715,58877.17071428571,920.6964285714301,bearish_s6_RSI42,bearish,42.651644688275034,10000.0,,,,
2024-04-18 02:00:00,OPEN_SHORT,61666.43,0.1484150596761055,63014.00214285714,58971.28571428571,898.3814285714299,bearish_s6_RSI44,bearish,44.79213975474111,10000.0,,,,
2024-04-18 14:00:00,CLOSE_LONG,63816.57,0.14591985924987275,,,,,,,,426.07353562516073,TAKE_PROFIT,18.0,10426.07353562516
2024-04-18 14:00:00,CLOSE_SHORT,63816.57,0.14481791087233375,,,,,,,,-322.58078600438057,STOP_LOSS,13.0,10103.49274962078
2024-04-18 14:00:00,CLOSE_SHORT,63816.57,0.1484150596761055,,,,,,,,-326.562583185314,STOP_LOSS,12.0,9776.930166435466
2024-04-18 14:00:00,OPEN_SHORT,63816.57,0.1856213202415066,64869.9975,61709.715000000004,702.2849999999993,bearish_s6_RSI73,neutral,73.6635853742571,9776.930166435466,,,,
2024-04-18 15:00:00,OPEN_SHORT,63498.7,0.17825087824143626,64595.68535714285,61304.72928571429,731.3235714285703,bearish_s5_RSI68,neutral,68.38459500182002,9776.930166435466,,,,
2024-04-18 16:00:00,OPEN_SHORT,63536.72,0.1761614140196632,64646.716785714285,61316.726428571434,739.9978571428562,bearish_s5_RSI68,neutral,68.45228111783833,9776.930166435466,,,,
2024-04-19 01:00:00,CLOSE_SHORT,61022.0,0.1856213202415066,,,,,,,,509.46269283512447,TAKE_PROFIT,11.0,10286.39285927059
2024-04-19 01:00:00,CLOSE_SHORT,61022.0,0.17825087824143626,,,,,,,,432.59558048686813,TAKE_PROFIT,10.0,10718.988439757459
2024-04-19 01:00:00,CLOSE_SHORT,61022.0,0.1761614140196632,,,,,,,,434.21965496605844,TAKE_PROFIT,9.0,11153.208094723517
2024-04-19 01:00:00,OPEN_LONG,61022.0,0.1767410818130492,59759.904285714285,63546.19142857143,841.3971428571422,bullish_s5_RSI37,neutral,37.46990557425856,11153.208094723517,,,,
2024-04-19 02:00:00,OPEN_LONG,61359.58,0.1676263097888036,60028.857142857145,64021.025714285715,887.1485714285706,bullish_s5_RSI43,neutral,43.0254138210715,11153.208094723517,,,,
2024-04-19 03:00:00,OPEN_SHORT,61785.14,0.1671968777400642,63119.28071428571,59116.85857142857,889.427142857142,bearish_s6_RSI41,bearish,41.61281769257013,11153.208094723517,,,,
2024-04-19 06:00:00,CLOSE_LONG,64624.37,0.1767410818130492,,,,,,,,627.8040207470003,TAKE_PROFIT,5.0,11781.012115470518
2024-04-19 06:00:00,CLOSE_LONG,64624.37,0.1676263097888036,,,,,,,,538.8174100829401,TAKE_PROFIT,4.0,12319.829525553458
2024-04-19 06:00:00,CLOSE_SHORT,64624.37,0.1671968777400642,,,,,,,,-483.16450134138177,STOP_LOSS,3.0,11836.665024212076
2024-04-19 06:00:00,OPEN_LONG,64624.37,0.14929742405055815,63038.721071428576,67795.66785714286,1057.0992857142858,bullish_s6_RSI56,bullish,56.53740321468707,11836.665024212076,,,,
2024-04-19 09:00:00,OPEN_LONG,64775.93,0.14865576717099183,63183.436785714286,67960.91642857144,1061.6621428571432,bullish_s6_RSI59,bullish,59.04979550884741,11836.665024212076,,,,
2024-04-19 10:00:00,OPEN_LONG,64777.7,0.14449671341197515,63139.369999999995,68054.36,1092.22,bullish_s6_RSI58,bullish,58.98023221079273,11836.665024212076,,,,
2024-04-27 00:00:00,CLOSE_LONG,63181.99,0.14865576717099183,,,,,,,,-244.55704662981225,STOP_LOSS,183.0,11592.107977582264
2024-04-27 00:00:00,OPEN_SHORT,63181.99,0.2968140027098172,63963.0925,61619.785,520.734999999999,bearish_s6_RSI37,bearish,37.49250656695782,11592.107977582264,,,,
2024-04-27 01:00:00,CLOSE_LONG,62593.28,0.14929742405055815,,,,,,,,-310.83381199035466,STOP_LOSS,187.0,11281.274165591909
2024-04-27 01:00:00,CLOSE_LONG,62593.28,0.14449671341197515,,,,,,,,-323.003385909009,STOP_LOSS,183.0,10958.2707796829
2024-04-27 03:00:00,OPEN_SHORT,63082.01,0.26528606041131664,63908.1575,61429.715000000004,550.765,bearish_s6_RSI32,bearish,32.894476532368756,10958.2707796829,,,,
2024-04-27 04:00:00,OPEN_SHORT,63048.57,0.29586133923367425,63789.34071428572,61567.02857142857,493.8471428571429,bearish_s6_RSI38,bearish,38.59729083212667,10958.2707796829,,,,
2024-04-28 02:00:00,CLOSE_SHORT,63950.0,0.26528606041131664,,,,,,,,-243.7455761680285,STOP_LOSS,23.0,10714.525203514871
2024-04-28 02:00:00,CLOSE_SHORT,63950.0,0.29586133923367425,,,,,,,,-281.72787382579554,STOP_LOSS,22.0,10432.797329689076
2024-04-28 02:00:00,OPEN_SHORT,63950.0,0.3730271730008268,64509.35857142857,62831.28285714286,372.90571428571377,bearish_s6_RSI70,neutral,70.27671206169607,10432.797329689076,,,,
2024-04-28 03:00:00,CLOSE_SHORT,64021.62,0.2968140027098172,,,,,,,,-264.31626615253845,STOP_LOSS,27.0,10168.481063536537
2024-04-28 03:00:00,OPEN_SHORT,64021.62,0.35200367656101356,64599.368571428575,62866.12285714286,385.16571428571376,bearish_s5_RSI68,neutral,68.59532758834108,10168.481063536537,,,,
2024-04-28 04:00:00,OPEN_SHORT,63843.14,0.3601930397048591,64407.752857142856,62713.91428571429,376.408571428571,bearish_s5_RSI66,neutral,66.0288094583278,10168.481063536537,,,,
2024-04-29 02:00:00,CLOSE_SHORT,62706.33,0.3730271730008268,,,,,,,,445.02420315691415,TAKE_PROFIT,24.0,10613.505266693452
2024-04-29 02:00:00,CLOSE_SHORT,62706.33,0.35200367656101356,,,,,,,,445.14343401472433,TAKE_PROFIT,23.0,11058.648700708176
2024-04-29 02:00:00,CLOSE_SHORT,62706.33,0.3601930397048591,,,,,,,,391.23815415794525,TAKE_PROFIT,22.0,11449.886854866121
2024-04-29 02:00:00,OPEN_SHORT,62706.33,0.4530843633278571,63211.74964285715,61695.49071428572,336.94642857142856,bearish_s6_RSI30,bearish,30.78996565364848,11449.886854866121,,,,
2024-04-29 12:00:00,OPEN_SHORT,62602.33,0.35295621024799634,63251.12928571429,61304.731428571424,432.53285714285863,bearish_s6_RSI39,bearish,39.914199377980104,11449.886854866121,,,,
2024-04-29 17:00:00,OPEN_SHORT,63033.23,0.3036632051335798,63787.3475,61524.994999999995,502.7450000000016,bearish_s7_RSI60,bearish,60.25832307807295,11449.886854866121,,,,
