date,capital,position_value,total_equity,close,peak,drawdown,month
2024-04-25,10000.0,0.0,10000.0,64282.01,10000.0,0.0,2024-04
2024-04-25,10000.0,0.0,10000.0,64337.99,10000.0,0.0,2024-04
2024-04-25,10000.0,0.0,10000.0,64223.36,10000.0,0.0,2024-04
2024-04-25,10000.0,0.0,10000.0,64288.0,10000.0,0.0,2024-04
2024-04-25,10000.0,0.0,10000.0,64017.99,10000.0,0.0,2024-04
2024-04-25,10000.0,0.0,10000.0,63948.78,10000.0,0.0,2024-04
2024-04-25,10000.0,0.0,10000.0,63966.02,10000.0,0.0,2024-04
2024-04-25,10000.0,0.0,10000.0,63462.01,10000.0,0.0,2024-04
2024-04-25,10000.0,0.0,10000.0,63861.23,10000.0,0.0,2024-04
2024-04-25,10000.0,0.0,10000.0,63429.82,10000.0,0.0,2024-04
2024-04-25,10000.0,0.0,10000.0,63428.97,10000.0,0.0,2024-04
2024-04-25,10000.0,0.0,10000.0,63384.96,10000.0,0.0,2024-04
2024-04-25,10000.0,0.0,10000.0,64135.94,10000.0,0.0,2024-04
2024-04-25,10000.0,0.0,10000.0,64445.45,10000.0,0.0,2024-04
2024-04-25,10000.0,0.0,10000.0,64704.0,10000.0,0.0,2024-04
2024-04-25,10000.0,0.0,10000.0,64712.1,10000.0,0.0,2024-04
2024-04-25,10000.0,0.0,10000.0,64747.11,10000.0,0.0,2024-04
2024-04-25,10000.0,0.0,10000.0,64794.29,10000.0,0.0,2024-04
2024-04-25,10000.0,0.0,10000.0,64710.01,10000.0,0.0,2024-04
2024-04-25,10000.0,0.0,10000.0,64602.99,10000.0,0.0,2024-04
2024-04-25,10000.0,0.0,10000.0,64498.34,10000.0,0.0,2024-04
2024-04-26,10000.0,0.0,10000.0,64307.03,10000.0,0.0,2024-04
2024-04-26,10000.0,0.0,10000.0,64402.97,10000.0,0.0,2024-04
2024-04-26,10000.0,0.0,10000.0,64499.91,10000.0,0.0,2024-04
2024-04-26,10000.0,0.0,10000.0,64381.24,10000.0,0.0,2024-04
2024-04-26,10000.0,0.0,10000.0,64210.85,10000.0,0.0,2024-04
2024-04-26,10000.0,0.0,10000.0,64553.99,10000.0,0.0,2024-04
2024-04-26,10000.0,0.0,10000.0,64377.57,10000.0,0.0,2024-04
2024-04-26,10000.0,0.0,10000.0,64276.95,10000.0,0.0,2024-04
2024-04-26,10000.0,0.0,10000.0,64412.5,10000.0,0.0,2024-04
2024-04-26,10000.0,0.0,10000.0,64474.99,10000.0,0.0,2024-04
2024-04-26,10000.0,0.0,10000.0,64100.01,10000.0,0.0,2024-04
2024-04-26,10000.0,0.0,10000.0,64244.02,10000.0,0.0,2024-04
2024-04-26,10000.0,0.0,10000.0,64142.79,10000.0,0.0,2024-04
2024-04-26,10000.0,0.0,10000.0,64500.01,10000.0,0.0,2024-04
2024-04-26,10000.0,0.0,10000.0,63854.16,10000.0,0.0,2024-04
2024-04-26,10000.0,0.0,10000.0,63503.22,10000.0,0.0,2024-04
2024-04-26,10000.0,0.0,10000.0,63662.51,10000.0,0.0,2024-04
2024-04-26,10000.0,0.0,10000.0,64008.4,10000.0,0.0,2024-04
2024-04-26,10000.0,0.0,10000.0,64060.0,10000.0,0.0,2024-04
2024-04-26,10000.0,0.0,10000.0,63742.05,10000.0,0.0,2024-04
2024-04-26,10000.0,0.0,10000.0,63966.39,10000.0,0.0,2024-04
2024-04-26,10000.0,0.0,10000.0,64059.97,10000.0,0.0,2024-04
2024-04-26,10000.0,0.0,10000.0,63821.93,10000.0,0.0,2024-04
2024-04-26,10000.0,0.0,10000.0,63770.01,10000.0,0.0,2024-04
2024-04-27,10000.0,0.0,10000.0,63181.99,10000.0,0.0,2024-04
2024-04-27,10000.0,0.0,10000.0,62593.28,10000.0,0.0,2024-04
2024-04-27,10000.0,0.0,10000.0,62929.97,10000.0,0.0,2024-04
2024-04-27,10000.0,0.0,10000.0,63082.01,10000.0,0.0,2024-04
2024-04-27,10000.0,0.0,10000.0,63048.57,10000.0,0.0,2024-04
2024-04-27,10000.0,0.0,10000.0,62988.25,10000.0,0.0,2024-04
2024-04-27,10999.0,1000.6310700805308,11999.631070080532,63028.0,11999.631070080532,0.0,2024-04
2024-04-27,10999.0,999.6599365754723,11998.659936575472,62966.83,11999.631070080532,-0.00809302802217885,2024-04
2024-04-27,10999.0,1000.4407171178751,11999.440717117875,63016.01,11999.631070080532,-0.0015863234589830535,2024-04
2024-04-27,10999.0,999.9396712878988,11998.939671287899,62984.45,11999.631070080532,-0.0057618337480113335,2024-04
2024-04-27,10999.0,996.947843446992,11995.947843446993,62796.0,11999.631070080532,-0.030694498956074436,2024-04
2024-04-27,10999.0,997.9978805570879,11996.997880557088,62862.14,11999.631070080532,-0.021943920676102607,2024-04
2024-04-27,10999.0,1000.7361690474016,11999.7361690474,63034.62,11999.7361690474,0.0,2024-04
2024-04-27,10999.0,1003.7918183153206,12002.79181831532,63227.09,12002.79181831532,0.0,2024-04
2024-04-27,10999.0,1002.2766150829717,12001.276615082972,63131.65,12002.79181831532,-0.012623756666641084,2024-04
