timestamp,type,price,shares,value,signal,pnl,reason,capital_after,holding_hours
2024-04-27 05:00:00,OPEN_SHORT,62988.25,0.0158759768687017,1000.0,SELL,,,,
2024-05-03 13:00:00,CLOSE_SHORT,61689.94,0.0158759768687017,,,18.632551467932558,TRAILING_STOP_8,10018.632551467932,0.0
2024-05-24 06:00:00,OPEN_SHORT,66887.01,0.014950586070449256,1000.0,SELL,,,,
2024-05-27 15:00:00,CLOSE_SHORT,70373.85,0.014950586070449256,,,-54.18243183541904,FIXED_STOP_5,9964.450119632513,578.0
2024-05-28 18:00:00,OPEN_SHORT,67879.43,0.014732003495020511,1000.0,SELL,,,,
2024-06-05 15:00:00,CLOSE_SHORT,71580.0,0.014732003495020511,,,-56.571326983741756,FIXED_STOP_5,9907.878792648771,216.0
2024-06-18 01:00:00,OPEN_SHORT,65133.99,0.015352967014610959,1000.0,SELL,,,,
2024-07-07 02:00:00,CLOSE_SHORT,58359.99,0.015352967014610959,,,102.10499955553178,TRAILING_STOP_8,10009.983792204303,755.0
2024-07-08 02:00:00,OPEN_SHORT,55384.79,0.018055498630580705,1000.0,SELL,,,,
2024-07-10 03:00:00,CLOSE_SHORT,58180.01,0.018055498630580705,,,-52.519559973053674,FIXED_STOP_5,9957.464232231248,73.0
2024-08-04 21:00:00,OPEN_SHORT,58459.98,0.017105719160355512,1000.0,SELL,,,,
2024-08-05 14:00:00,CLOSE_SHORT,54061.68,0.017105719160355512,,,73.31132066757482,TRAILING_STOP_8,10030.775552898824,635.0
2024-08-09 04:00:00,OPEN_LONG,60720.01,0.016469035495876895,1000.0,BUY,,,,
2024-08-15 19:00:00,CLOSE_LONG,57047.46,0.016469035495876895,,,-62.42287295407232,FIXED_STOP_5,9968.352679944752,245.0
2024-08-28 03:00:00,OPEN_SHORT,59629.01,0.01677036060132476,1000.0,SELL,,,,
2024-09-09 21:00:00,CLOSE_SHORT,57454.27,0.01677036060132476,,,34.50764518813935,TRAILING_STOP_8,10002.860325132891,602.0
2024-10-01 13:00:00,OPEN_SHORT,62866.8,0.015906647069677475,1000.0,SELL,,,,
2024-10-14 03:00:00,CLOSE_SHORT,64299.99,0.015906647069677475,,,-24.820044761304757,TRAILING_STOP_8,9978.040280371586,822.0
2024-11-01 19:00:00,OPEN_SHORT,69268.0,0.014436680718369233,1000.0,SELL,,,,
2024-11-06 02:00:00,CLOSE_SHORT,73077.05,0.014436680718369233,,,-57.045028728994566,FIXED_STOP_5,9920.995251642591,551.0
2024-12-05 10:00:00,OPEN_LONG,102280.62,0.00977702325230332,1000.0,BUY,,,,
2024-12-05 22:00:00,CLOSE_LONG,96589.04,0.00977702325230332,,,-57.59106329234214,FIXED_STOP_5,9863.404188350249,716.0
2024-12-18 19:00:00,OPEN_SHORT,102817.82,0.00972594050330964,1000.0,SELL,,,,
2025-01-06 04:00:00,CLOSE_SHORT,99466.09,0.00972594050330964,,,30.631325289721417,TRAILING_STOP_8,9894.03551363997,750.0
2025-01-09 08:00:00,OPEN_SHORT,93030.87,0.010749120157642298,1000.0,SELL,,,,
2025-01-15 13:00:00,CLOSE_SHORT,98964.0,0.010749120157642298,,,-65.83970320819321,FIXED_STOP_5,9828.195810431776,225.0
2025-01-27 12:00:00,OPEN_SHORT,100619.68,0.009938413638365775,1000.0,SELL,,,,
2025-01-30 14:00:00,CLOSE_SHORT,105920.57,0.009938413638365775,,,-54.735119908948036,FIXED_STOP_5,9773.460690522828,361.0
2025-02-10 01:00:00,OPEN_SHORT,95576.0,0.010462877709885327,1000.0,SELL,,,,
2025-03-01 03:00:00,CLOSE_SHORT,85330.84,0.010462877709885327,,,105.30105005440703,TRAILING_STOP_8,9878.761740577236,709.0
2025-03-17 00:00:00,OPEN_SHORT,83054.91,0.012040227362837429,1000.0,SELL,,,,
2025-03-24 08:00:00,CLOSE_SHORT,87416.35,0.012040227362837429,,,-54.56524195860277,FIXED_STOP_5,9824.196498618634,557.0
2025-04-07 01:00:00,OPEN_SHORT,79142.01,0.012635514311552107,1000.0,SELL,,,,
2025-04-09 17:00:00,CLOSE_SHORT,82202.16,0.012635514311552107,,,-40.70523568961664,TRAILING_STOP_8,9783.491262929017,393.0
