t,type,px,shares,val,sig,pnl,reason,hold_h,cap_after,entry_px
2024-04-25 03:00:00,OPEN_SHORT,64282.01,0.015556451952886973,1000.0,SELL,,,,,
2024-05-03 20:00:00,CLOSE_SHORT,62900.0,,,,19.520671335572956,TRAIL_10,209.0,10019.520671335573,64282.01
2024-05-04 20:00:00,OPEN_SHORT,63867.73,0.015657359358161,1000.0,SELL,,,,,
2024-05-16 11:00:00,CLOSE_SHORT,66503.8,,,,-43.31516917855072,TRAIL_10,279.0,9976.205502157021,63867.73
2024-05-17 04:00:00,OPEN_SHORT,65451.81,0.015278416288258491,1000.0,SELL,,,,,
2024-05-20 23:00:00,CLOSE_SHORT,71446.62,,,,-93.68279395176387,STOP_8,91.0,9882.522708205257,65451.81
2024-05-21 13:00:00,OPEN_LONG,70595.92,0.014165124556773254,1000.0,BUY,,,,,
2024-06-18 13:00:00,CLOSE_LONG,64844.0,,,,-83.39518657735448,STOP_8,672.0,9799.127521627903,70595.92
2024-06-18 14:00:00,OPEN_SHORT,64633.99,0.015471735537292376,1000.0,SELL,,,,,
2024-07-10 04:00:00,CLOSE_SHORT,59347.44,,,,79.87389560817769,TRAIL_10,518.0,9879.00141723608,64633.99
2024-07-11 01:00:00,OPEN_SHORT,58280.35,0.017158441910523875,1000.0,SELL,,,,,
2024-07-15 14:00:00,CLOSE_SHORT,63218.06,,,,-86.8081336162187,STOP_8,109.0,9792.193283619861,58280.35
2024-07-16 05:00:00,OPEN_SHORT,63654.92,0.01570970476437642,1000.0,SELL,,,,,
2024-07-27 13:00:00,CLOSE_SHORT,69226.01,,,,-89.60769929488549,STOP_8,272.0,9702.585584324976,63654.92
2024-07-28 00:00:00,OPEN_SHORT,67958.0,0.014714971011507108,1000.0,SELL,,,,,
2024-08-06 00:00:00,CLOSE_SHORT,56038.0,,,,173.577856911622,TRAIL_10,216.0,9876.163441236598,67958.0
2024-08-07 00:00:00,OPEN_SHORT,56269.99,0.017771462195035045,1000.0,SELL,,,,,
2024-08-08 21:00:00,CLOSE_SHORT,61173.69,,,,-89.23306508495921,STOP_8,45.0,9786.930376151638,56269.99
2024-08-09 02:00:00,OPEN_LONG,61235.51,0.016330393916862945,1000.0,BUY,,,,,
2024-09-01 05:00:00,CLOSE_LONG,57986.0,,,,-55.01271255844847,TRAIL_10,555.0,9731.91766359319,61235.51
2024-09-01 06:00:00,OPEN_SHORT,58201.1,0.017181805842157623,1000.0,SELL,,,,,
2024-09-12 03:00:00,CLOSE_SHORT,58232.72,,,,-2.543831989429691,TRAIL_10,261.0,9729.373831603762,58201.1
2024-09-13 01:00:00,OPEN_SHORT,58129.99,0.017202824222058183,1000.0,SELL,,,,,
2024-09-19 12:00:00,CLOSE_SHORT,62924.07,,,,-84.55418726203095,STOP_8,155.0,9644.819644341731,58129.99
2024-09-20 00:00:00,OPEN_SHORT,62756.4,0.01593462977481181,1000.0,SELL,,,,,
2024-10-14 14:00:00,CLOSE_SHORT,65922.0,,,,-52.49310667915927,TRAIL_10,590.0,9592.326537662571,62756.4
2024-10-15 11:00:00,OPEN_SHORT,65399.69,0.015290592356018812,1000.0,SELL,,,,,
2024-10-29 02:00:00,CLOSE_SHORT,71190.05,,,,-90.62657238895167,STOP_8,327.0,9501.69996527362,65399.69
2024-10-30 01:00:00,OPEN_SHORT,72415.36,0.013809225004198004,1000.0,SELL,,,,,
2024-11-06 03:00:00,CLOSE_SHORT,74348.53,,,,-28.722275080866666,TRAIL_10,170.0,9472.977690192753,72415.36
2024-11-07 03:00:00,OPEN_SHORT,75048.01,0.013324803682336147,1000.0,SELL,,,,,
2024-11-11 01:00:00,CLOSE_SHORT,81214.0,,,,-84.24276686350493,STOP_8,94.0,9388.734923329248,75048.01
2024-11-12 12:00:00,OPEN_LONG,86348.01,0.011581042805734609,1000.0,BUY,,,,,
2024-12-06 09:00:00,CLOSE_LONG,98000.0,,,,132.8072527670298,SIGNAL_REVERSE,573.0,9521.542176096278,86348.01
2024-12-06 10:00:00,OPEN_SHORT,98124.78,0.01019110565139611,1000.0,STRONG_SELL,,,,,
2024-12-16 15:00:00,CLOSE_SHORT,106332.01,,,,-85.72438878334276,STOP_8,245.0,9435.817787312935,98124.78
2024-12-17 00:00:00,OPEN_SHORT,105856.51,0.009446750133742365,1000.0,SELL,,,,,
2025-01-06 15:00:00,CLOSE_SHORT,102147.95,,,,33.06887351566763,TRAIL_10,495.0,9468.886660828603,105856.51
2025-01-07 00:00:00,OPEN_SHORT,102042.46,0.00979984214414274,1000.0,SELL,,,,,
2025-01-15 19:00:00,CLOSE_SHORT,99844.9,,,,19.557276843384784,TRAIL_10,211.0,9488.443937671987,102042.46
2025-01-16 01:00:00,OPEN_SHORT,100082.35,0.009991771775942512,1000.0,SELL,,,,,
2025-01-20 08:00:00,CLOSE_SHORT,108320.01,,,,-84.39112750649804,STOP_8,103.0,9404.052810165489,100082.35
2025-01-21 06:00:00,OPEN_SHORT,102176.04,0.009787030305735083,1000.0,SELL,,,,,
2025-03-02 15:00:00,CLOSE_SHORT,87427.99,,,,142.48395191279667,TRAIL_10,969.0,9546.536762078285,102176.04
2025-03-03 06:00:00,OPEN_LONG,91645.99,0.010911552158474145,1000.0,BUY,,,,,
2025-03-04 01:00:00,CLOSE_LONG,83380.55,,,,-92.09859089306576,STOP_8,19.0,9454.43817118522,91645.99
2025-03-04 02:00:00,OPEN_SHORT,83936.41,0.011913780920580234,1000.0,SELL,,,,,
2025-03-06 01:00:00,CLOSE_SHORT,91057.19,,,,-86.92024831655272,STOP_8,47.0,9367.517922868668,83936.41
2025-03-07 00:00:00,OPEN_SHORT,85529.22,0.011691910670996414,1000.0,SELL,,,,,
2025-03-19 18:00:00,CLOSE_SHORT,85612.25,,,,-2.9717501223556155,TRAIL_10,306.0,9364.546172746313,85529.22
2025-03-20 18:00:00,OPEN_SHORT,84060.53,0.011896189567208296,1000.0,SELL,,,,,
2025-04-09 19:00:00,CLOSE_SHORT,82332.08,,,,18.582530826298694,TRAIL_10,481.0,9383.128703572613,84060.53
2025-04-10 06:00:00,OPEN_SHORT,82156.72,0.01217185885707219,1000.0,SELL,,,,,
