timestamp,hour,date,close,capital,position_pnl,total_equity,n_positions,has_long_pending,has_short_pending,trend,support,resistance,peak,dd,month
2024-04-17 20:00:00,2024-04-17 20:00,2024-04-17,60846.79,10000.0,0.0,10000.0,0,True,True,bearish,58180.747264247446,64499.0,10000.0,0.0,2024-04
2024-04-17 21:00:00,2024-04-17 21:00,2024-04-17,61300.92,10000.0,0.0,10000.0,0,True,True,bearish,58680.03253618891,64499.0,10000.0,0.0,2024-04
2024-04-17 22:00:00,2024-04-17 22:00,2024-04-17,61689.94,10000.0,0.0,10000.0,0,True,True,bearish,59145.4881634377,64499.0,10000.0,0.0,2024-04
2024-04-17 23:00:00,2024-04-17 23:00,2024-04-17,61277.37,10000.0,0.0,10000.0,0,True,True,bearish,58808.01108317649,64499.0,10000.0,0.0,2024-04
2024-04-18 00:00:00,2024-04-18 00:00,2024-04-18,61514.69,10000.0,0.0,10000.0,0,True,True,bearish,59210.88975408251,64499.0,10000.0,0.0,2024-04
2024-04-18 01:00:00,2024-04-18 01:00,2024-04-18,61639.26,10000.0,0.0,10000.0,0,True,True,bearish,59514.61025857264,64499.0,10000.0,0.0,2024-04
2024-04-18 02:00:00,2024-04-18 02:00,2024-04-18,61666.43,10000.0,0.0,10000.0,0,True,True,bearish,59678.16,64499.0,10000.0,0.0,2024-04
2024-04-18 03:00:00,2024-04-18 03:00,2024-04-18,61988.0,10000.0,0.0,10000.0,0,True,True,bearish,59678.16,64499.0,10000.0,0.0,2024-04
2024-04-18 04:00:00,2024-04-18 04:00,2024-04-18,61640.06,10000.0,0.0,10000.0,0,True,True,bearish,59678.16,64499.0,10000.0,0.0,2024-04
2024-04-18 05:00:00,2024-04-18 05:00,2024-04-18,61072.02,10000.0,0.0,10000.0,0,True,True,bearish,59650.688011038124,64000.0,10000.0,0.0,2024-04
2024-04-18 06:00:00,2024-04-18 06:00,2024-04-18,61147.83,10000.0,0.0,10000.0,0,True,True,bearish,59678.16,63935.56,10000.0,0.0,2024-04
2024-04-18 07:00:00,2024-04-18 07:00,2024-04-18,61178.08,10000.0,0.0,10000.0,0,True,True,bearish,59678.16,63587.88,10000.0,0.0,2024-04
2024-04-18 08:00:00,2024-04-18 08:00,2024-04-18,61335.99,10000.0,0.0,10000.0,0,True,True,bearish,59678.16,63539.99,10000.0,0.0,2024-04
2024-04-18 09:00:00,2024-04-18 09:00,2024-04-18,61636.5,10000.0,0.0,10000.0,0,True,True,bearish,59678.16,63338.72,10000.0,0.0,2024-04
2024-04-18 10:00:00,2024-04-18 10:00,2024-04-18,61821.75,10000.0,0.0,10000.0,0,True,True,bearish,59678.16,63163.11,10000.0,0.0,2024-04
2024-04-18 11:00:00,2024-04-18 11:00,2024-04-18,62597.92,10000.0,0.0,10000.0,0,True,True,neutral,59678.16,63567.03892426439,10000.0,0.0,2024-04
