date,capital,position_value,total_equity,close,peak,drawdown,month
2024-04-19,10000.0,0.0,10000.0,64547.18,10000.0,0.0,2024-04
2024-04-19,9999.421412368441,0.0,9999.421412368441,64639.02,10000.0,-0.005785876315585483,2024-04
2024-04-19,9999.421412368441,0.0,9999.421412368441,64775.93,10000.0,-0.005785876315585483,2024-04
2024-04-19,9999.421412368441,0.0,9999.421412368441,64777.7,10000.0,-0.005785876315585483,2024-04
2024-04-19,9999.421412368441,0.0,9999.421412368441,64870.74,10000.0,-0.005785876315585483,2024-04
2024-04-19,9999.421412368441,0.0,9999.421412368441,64965.19,10000.0,-0.005785876315585483,2024-04
2024-04-19,9999.421412368441,0.0,9999.421412368441,64903.71,10000.0,-0.005785876315585483,2024-04
2024-04-19,9999.421412368441,0.0,9999.421412368441,64452.12,10000.0,-0.005785876315585483,2024-04
2024-04-19,9999.421412368441,0.0,9999.421412368441,64437.17,10000.0,-0.005785876315585483,2024-04
2024-04-19,9999.421412368441,0.0,9999.421412368441,64005.76,10000.0,-0.005785876315585483,2024-04
2024-04-19,9999.421412368441,0.0,9999.421412368441,64627.8,10000.0,-0.005785876315585483,2024-04
2024-04-19,9999.421412368441,0.0,9999.421412368441,64202.63,10000.0,-0.005785876315585483,2024-04
2024-04-19,9999.421412368441,0.0,9999.421412368441,64325.25,10000.0,-0.005785876315585483,2024-04
2024-04-19,9999.421412368441,0.0,9999.421412368441,64044.11,10000.0,-0.005785876315585483,2024-04
2024-04-19,9999.421412368441,0.0,9999.421412368441,64398.32,10000.0,-0.005785876315585483,2024-04
2024-04-19,9999.421412368441,0.0,9999.421412368441,64012.5,10000.0,-0.005785876315585483,2024-04
2024-04-19,9999.421412368441,0.0,9999.421412368441,63818.01,10000.0,-0.005785876315585483,2024-04
2024-04-20,9999.421412368441,0.0,9999.421412368441,63444.51,10000.0,-0.005785876315585483,2024-04
2024-04-20,9999.421412368441,0.0,9999.421412368441,63656.0,10000.0,-0.005785876315585483,2024-04
2024-04-20,10000.215209968039,0.0,10000.215209968039,63834.02,10000.215209968039,0.0,2024-04
2024-04-20,10000.215209968039,0.0,10000.215209968039,63956.0,10000.215209968039,0.0,2024-04
2024-04-20,10000.215209968039,0.0,10000.215209968039,64133.07,10000.215209968039,0.0,2024-04
2024-04-20,10000.215209968039,0.0,10000.215209968039,64159.0,10000.215209968039,0.0,2024-04
2024-04-20,10000.215209968039,0.0,10000.215209968039,64046.07,10000.215209968039,0.0,2024-04
2024-04-20,10000.215209968039,0.0,10000.215209968039,63961.22,10000.215209968039,0.0,2024-04
2024-04-20,10000.215209968039,0.0,10000.215209968039,63729.45,10000.215209968039,0.0,2024-04
2024-04-20,10000.215209968039,0.0,10000.215209968039,63615.01,10000.215209968039,0.0,2024-04
2024-04-20,10000.215209968039,0.0,10000.215209968039,63567.28,10000.215209968039,0.0,2024-04
2024-04-20,10000.215209968039,0.0,10000.215209968039,63707.17,10000.215209968039,0.0,2024-04
