timestamp,type,price,shares,value,signal,pnl,reason,capital_after
2024-04-19 07:00:00,OPEN_LONG,64547.18,0.015492543593693791,1000.0,BUY,,,
2024-04-19 08:00:00,CLOSE_LONG,64639.02,0.015492543593693791,,,-0.5785876315587757,DAILY_LOSS_STOP,9999.421412368441
2024-04-20 01:00:00,OPEN_LONG,63656.0,0.015709438230488877,1000.0,BUY,,,
2024-04-20 02:00:00,CLOSE_LONG,63834.02,0.015709438230488877,,,0.7937975995978377,DAILY_LOSS_STOP,10000.215209968039
2024-04-21 00:00:00,OPEN_LONG,64759.98,0.015441635405075788,1000.0,BUY,,,
2024-04-21 01:00:00,CLOSE_LONG,64946.0,0.015441635405075788,,,0.8695805650340844,DAILY_LOSS_STOP,10001.084790533072
2024-04-22 05:00:00,OPEN_LONG,66377.99,0.015065234726149434,1000.0,BUY,,,
2024-04-22 06:00:00,CLOSE_LONG,66300.0,0.015065234726149434,,,-3.1737627186361124,DAILY_LOSS_STOP,9997.911027814436
2024-04-23 00:00:00,OPEN_LONG,67028.14,0.014919107109342435,1000.0,BUY,,,
2024-04-23 01:00:00,CLOSE_LONG,66780.0,0.014919107109342435,,,-5.698325210873918,DAILY_LOSS_STOP,9992.212702603561
2024-04-24 08:00:00,OPEN_LONG,66533.99,0.01502991177892683,1000.0,BUY,,,
2024-04-24 09:00:00,CLOSE_LONG,66366.01,0.01502991177892683,,,-4.522199856043585,DAILY_LOSS_STOP,9987.690502747519
2024-04-25 00:00:00,OPEN_SHORT,64557.25,0.01549012698031592,1000.0,SELL,,,
2024-04-26 00:00:00,CLOSE_SHORT,64307.03,0.01549012698031592,,,1.8798155125879248,DAILY_LOSS_STOP,9989.570318260106
2024-04-27 00:00:00,OPEN_SHORT,63181.99,0.015827295088363,1000.0,SELL,,,
2024-04-28 00:00:00,CLOSE_SHORT,63616.57,0.015827295088363,,,-8.885104125400176,DAILY_LOSS_STOP,9980.685214134706
2024-04-29 00:00:00,OPEN_SHORT,63257.43,0.015808419659160987,1000.0,SELL,,,
2024-04-30 00:00:00,CLOSE_SHORT,64580.0,0.015808419659160987,,,-22.928649330205076,DAILY_LOSS_STOP,9957.756564804502
2024-05-01 00:00:00,OPEN_SHORT,60240.57,0.016600108531509578,1000.0,SELL,,,
2024-05-02 00:00:00,CLOSE_SHORT,57767.29,0.016600108531509578,,,39.09777314524092,DAILY_LOSS_STOP,9996.854337949742
2024-05-03 01:00:00,OPEN_LONG,59311.11,0.016860247599480096,1000.0,BUY,,,
2024-05-03 02:00:00,CLOSE_LONG,59543.76,0.016860247599480096,,,1.9186140674152057,DAILY_LOSS_STOP,9998.772952017158
2024-05-04 00:00:00,OPEN_LONG,63083.99,0.015851882545793314,1000.0,BUY,,,
2024-05-04 01:00:00,CLOSE_LONG,62856.03,0.015851882545793314,,,-5.60998154999379,DAILY_LOSS_STOP,9993.162970467163
2024-05-05 00:00:00,OPEN_LONG,63509.52,0.01574567088524681,1000.0,BUY,,,
2024-05-05 01:00:00,CLOSE_LONG,63315.47,0.01574567088524681,,,-5.052391987846704,DAILY_LOSS_STOP,9988.110578479316
