signal,trend,composite,tech_score,emotion_score,rsi,macd,macd_hist,bb_position,fear_greed,price_change_24h_pct,close,timestamp
NEUTRAL,bearish,41,53,20,30.5799571505558,-558.0362490434272,-21.68765944779136,0.31646810634405387,73,-3.492260855805307,64282.01,2024-04-25 03:00:00
NEUTRAL,bearish,49,66,20,38.2012597811959,-531.1667877669752,4.145441462928602,0.3496097436155242,74,-3.9846137774594115,64337.99,2024-04-25 04:00:00
NEUTRAL,bearish,48,64,20,44.123322848763884,-513.2063062795423,17.684738360289202,0.33743771601595596,75,-3.763688831627632,64223.36,2024-04-25 05:00:00
NEUTRAL,bearish,48,64,20,41.94897862532758,-488.1297318232391,34.20905025327397,0.3746139993096141,75,-3.7291477795318384,64288.0,2024-04-25 06:00:00
NEUTRAL,bearish,49,66,20,36.97666355832912,-484.45937027686887,30.303529439715476,0.2952100896128584,75,-3.921468868047706,64017.99,2024-04-25 07:00:00
NEUTRAL,bearish,48,64,20,46.63992580919993,-481.58385202513455,26.543238153159905,0.26187418868014267,76,-3.8855478229999574,63948.78,2024-04-25 08:00:00
NEUTRAL,bearish,48,64,20,49.80070507527154,-472.467547388871,28.52763423153874,0.2365382197510703,76,-3.6162939432399233,63966.02,2024-04-25 09:00:00
NEUTRAL,bearish,49,66,20,38.78502570137938,-500.1468238432062,0.6786862217628595,-0.10042712441037402,75,-4.4710814401137995,63462.01,2024-04-25 10:00:00
NEUTRAL,bearish,48,64,20,41.02741096438574,-484.28657805851253,13.231145605165295,0.23602055273378283,75,-4.071245481551267,63861.23,2024-04-25 11:00:00
NEUTRAL,bearish,41,53,20,39.34739225543995,-500.75599713819975,-2.5906187796175004,-0.028108052835873688,75,-4.40552668137788,63429.82,2024-04-25 12:00:00
NEUTRAL,bearish,41,53,20,35.33417402269865,-508.0205733728508,-7.884156011414802,0.003472205533556826,75,-3.9755058626153805,63428.97,2024-04-25 13:00:00
NEUTRAL,bearish,46,60,20,28.374624139902878,-511.4335539171152,-9.037709244543407,0.04567617344409872,75,-2.8357388727037747,63384.96,2024-04-25 14:00:00
NEUTRAL,bearish,51,68,20,51.14327627045649,-448.37200244703854,43.21907378042664,0.5759248778881042,74,-0.7338944323109775,64135.94,2024-04-25 15:00:00
NEUTRAL,bearish,51,68,20,52.38501214885536,-369.1648951420357,97.94094486834359,0.7751595882921811,74,-0.5440754344269938,64445.45,2024-04-25 16:00:00
NEUTRAL,bearish,51,68,20,56.41273459463565,-282.27596611227636,147.86389911848232,0.9181869603786683,74,-0.28582449509912955,64704.0,2024-04-25 17:00:00
NEUTRAL,bearish,53,71,20,55.769082492127694,-210.33762039252179,175.84179587058952,0.8772004389606768,74,0.9123452446892832,64712.1,2024-04-25 18:00:00
NEUTRAL,neutral,53,72,20,58.27997786736226,-148.78583818596235,189.91486246171922,0.8636706981431006,74,1.205216451278801,64747.11,2024-04-25 19:00:00
NEUTRAL,neutral,53,72,20,58.04838345589755,-95.10229556616832,194.87872406521058,0.8706489825913618,74,1.0673685852441217,64794.29,2024-04-25 20:00:00
NEUTRAL,bearish,51,68,20,61.691264917758126,-58.68194399150525,185.03926051189893,0.7941818114384835,75,0.4823649672349273,64710.01,2024-04-25 21:00:00
NEUTRAL,bearish,51,68,20,60.91306712217708,-38.01594838182791,164.56420489726102,0.7243534226727721,74,0.790985396904631,64602.99,2024-04-25 22:00:00
NEUTRAL,bearish,53,71,20,58.62816797308072,-29.739559247384022,138.27247522536393,0.662250340484804,74,0.3247026462604552,64498.34,2024-04-25 23:00:00
NEUTRAL,bearish,49,66,20,65.24162361836588,-38.177493011025945,103.86763316937763,0.5640618198310832,75,-0.3875939573014686,64307.03,2024-04-26 00:00:00
NEUTRAL,bearish,51,68,20,60.971727154892974,-36.700005298655014,84.27609670539886,0.6085781481033374,75,0.5228664927472426,64402.97,2024-04-26 01:00:00
NEUTRAL,bearish,49,65,20,75.06852267456296,-27.391090363911644,74.86800931211378,0.6516948190149116,76,0.31093322268529455,64499.91,2024-04-26 02:00:00
NEUTRAL,bearish,49,65,20,71.1413538174631,-29.252184470722568,58.40553216424229,0.5818679275245937,76,0.1543666727285009,64381.24,2024-04-26 03:00:00
NEUTRAL,bearish,49,66,20,67.36135344099075,-43.96931307895284,34.95072284480962,0.4879232364419007,76,-0.19761263912658755,64210.85,2024-04-26 04:00:00
NEUTRAL,bearish,51,68,20,60.606691057446724,-27.625760699884268,41.035420179102545,0.6495451162470119,77,0.5148126787511531,64553.99,2024-04-26 05:00:00
NEUTRAL,bearish,55,74,20,48.15302568567706,-28.57955002455128,32.065304683548426,0.5380654973776998,77,0.13932615729217446,64377.57,2024-04-26 06:00:00
NEUTRAL,bearish,56,76,20,37.28768150886782,-37.027794651847216,18.893648045001996,0.46938449861647413,77,0.40451129440333133,64276.95,2024-04-26 07:00:00
NEUTRAL,bearish,55,74,20,41.71056709017675,-32.41171514729649,18.807782039642184,0.5218039793561183,77,0.7251428408798333,64412.5,2024-04-26 08:00:00
NEUTRAL,bearish,55,74,20,42.58366946473344,-23.44080710074195,22.222952068957383,0.5352463027176952,77,0.7956880856429649,64474.99,2024-04-26 09:00:00
NEUTRAL,bearish,48,64,20,33.946540880503235,-46.058120658562984,-0.31548919109091855,0.04770315356929117,77,1.005325863457518,64100.01,2024-04-26 10:00:00
NEUTRAL,bearish,47,63,20,39.51478986377926,-51.76538204251119,-4.818200460031299,0.206778579795126,77,0.5994090624311443,64244.02,2024-04-26 11:00:00
NEUTRAL,bearish,48,64,20,39.61801889601781,-63.72229187845369,-13.42008823677903,0.12257132419387061,77,1.1240296756320545,64142.79,2024-04-26 12:00:00
NEUTRAL,bearish,53,72,20,50.033820592893335,-43.86787887950777,5.147459809733512,0.5654163446065794,76,1.6885659659931385,64500.01,2024-04-26 13:00:00
NEUTRAL,bearish,46,60,20,42.25452804050016,-79.33330597287568,-24.25437382690751,-0.09658970802667409,75,0.7402386938478944,63854.16,2024-04-26 14:00:00
NEUTRAL,bearish,46,60,20,35.84608850225737,-134.21073966741824,-63.30544601716005,-0.21657052832617396,75,-0.9865295495785964,63503.22,2024-04-26 15:00:00
NEUTRAL,bearish,44,57,20,37.080350530733114,-162.9695183207732,-73.651379736412,-0.0031113622813880386,75,-1.2148879401105872,63662.51,2024-04-26 16:00:00
NEUTRAL,bearish,42,54,20,44.62459847405727,-156.0517577976716,-53.38689537064832,0.2971719383038644,75,-1.0750494559841672,64008.4,2024-04-26 17:00:00
NEUTRAL,bearish,42,54,20,47.74798983646989,-144.73725302546518,-33.657912478753516,0.3587509159745228,75,-1.0076940788507849,64060.0,2024-04-26 18:00:00
NEUTRAL,bearish,44,57,20,37.786849737066966,-159.58671791305096,-38.80590189307142,0.13135057075992032,75,-1.552285499692574,63742.05,2024-04-26 19:00:00
NEUTRAL,bearish,42,54,20,43.90295258543989,-151.5061936179918,-24.580302078409815,0.33322455819567004,75,-1.2777360474202304,63966.39,2024-04-26 20:00:00
NEUTRAL,bearish,42,54,20,46.77585202619978,-135.98366098092083,-7.2462155530710675,0.4234140912297349,75,-1.0045431920038372,64059.97,2024-04-26 21:00:00
NEUTRAL,bearish,42,54,20,41.48398949071493,-141.2614070802956,-10.019169321956667,0.2501099998756174,75,-1.2090152483654304,63821.93,2024-04-26 22:00:00
NEUTRAL,bearish,44,57,20,39.80311498362667,-147.92834311734623,-13.348884287205806,0.23466093842201566,75,-1.12922286061935,63770.01,2024-04-26 23:00:00
