timestamp,type,price,size,notional,sl,tp,level,capital,trend,pnl,reason,holding_hours,capital_after
2024-04-19 06:00:00,OPEN_SHORT,64624.37,0.10730510300607772,6934.524679552879,66022.25319285714,60539.79176428571,R@64499.0,10000.0,bullish,,,,
2024-04-22 05:00:00,CLOSE_SHORT,66377.99,0.10730510300607772,,,,,,,-193.79526342705321,STOP_LOSS,71.0,9806.204736572947
2024-04-30 19:00:00,OPEN_LONG,59292.95,0.09910568974212823,5876.2687065955215,57808.7459,64150.7459,S@59600.0,9806.204736572947,bearish,,,,
2024-05-01 07:00:00,CLOSE_LONG,57499.99,0.09910568974212823,,,,,,,-182.3224754303301,STOP_LOSS,12.0,9623.882261142617
2024-05-01 08:00:00,OPEN_LONG,57169.69,0.11637593956465828,6653.176388370249,55929.24258056642,60353.11115199499,S@57104.0,9623.882261142617,bearish,,,,
2024-05-03 12:00:00,CLOSE_LONG,60641.0,0.11637593956465828,,,,,,,398.49283087438926,TAKE_PROFIT,52.0,10022.375092017006
2024-05-03 13:00:00,OPEN_SHORT,61689.94,0.1155055327755257,7125.529386590214,62991.484807142864,58524.44623571429,R@61788.0,10022.375092017006,bullish,,,,
2024-05-04 00:00:00,CLOSE_SHORT,63083.99,0.1155055327755257,,,,,,,-166.78531967017898,STOP_LOSS,11.0,9855.589772346826
2024-05-15 18:00:00,OPEN_SHORT,65717.28,0.23196842994895303,15244.334262115732,66354.58157857142,62841.75729285714,R@65500.0,9855.589772346826,bullish,,,,
2024-05-16 09:00:00,CLOSE_SHORT,66364.69,0.23196842994895303,,,,,,,-162.4342201154377,STOP_LOSS,15.0,9693.155552231388
2024-05-20 15:00:00,OPEN_SHORT,67419.99,0.2358446954783281,15900.647010701927,68036.48609285714,66028.23466428572,R@67700.0,9693.155552231388,bullish,,,,
2024-05-20 16:00:00,CLOSE_SHORT,68190.06,0.2358446954783281,,,,,,,-194.41008902541216,STOP_LOSS,1.0,9498.745463205976
2024-05-27 15:00:00,OPEN_SHORT,70373.85,0.1443925337646632,10161.458512274345,71360.61280714287,68235.14423571428,R@70666.0,9498.745463205976,bullish,,,,
2024-05-28 03:00:00,CLOSE_SHORT,68050.3,0.1443925337646632,,,,,,,327.50830632779616,TAKE_PROFIT,12.0,9826.253769533772
2024-06-04 15:00:00,OPEN_SHORT,70445.0,0.15242500426762212,10737.57942563264,71411.99230714285,68209.48373571428,R@70688.0,9826.253769533772,bullish,,,,
2024-06-05 15:00:00,CLOSE_SHORT,71580.0,0.15242500426762212,,,,,,,-181.6616443361927,STOP_LOSS,24.0,9644.59212519758
2024-06-07 10:00:00,OPEN_SHORT,71377.38,0.21051942162034734,15026.32475437575,72064.57969285714,69913.64826428572,R@71700.0,9644.59212519758,bullish,,,,
2024-06-07 17:00:00,CLOSE_SHORT,69803.59,0.21051942162034734,,,,,,,319.4248260926088,TAKE_PROFIT,7.0,9964.016951290188
2024-06-18 14:00:00,OPEN_LONG,64633.99,0.14118690619259264,9125.47308298297,63575.39144932792,66843.62144932793,S@64332.0,9964.016951290188,bearish,,,,
