timestamp,type,price,size,sl,tp,atr,info,trend_1h,trend_d,rsi,capital,pnl,reason,hold_h,capital_after
2024-04-17 20:00:00,OPEN_LONG,60846.79,0.16415984165610642,59933.046428571426,63588.02071428572,913.7435714285722,"score=7,d=neutral,1h=bearish,RSI=25.6",bearish,neutral,25.639065749217465,10000.0,,,,
2024-04-18 14:00:00,CLOSE_LONG,63816.57,0.16415984165610642,,,,,,,,,479.3327275783049,TAKE_PROFIT,18.0,10479.332727578305
2024-07-05 04:00:00,OPEN_LONG,53941.1,0.18848334159483135,53107.12714285714,56443.01857142857,833.9728571428562,"score=7,d=neutral,1h=bearish,RSI=23.1",bearish,neutral,23.09680901467037,10479.332727578305,,,,
2024-07-05 06:00:00,OPEN_LONG,54283.99,0.18345130768159115,53427.14142857143,56854.53571428571,856.8485714285702,"score=7,d=neutral,1h=bearish,RSI=21.5",bearish,neutral,21.50297260440543,10479.332727578305,,,,
2024-07-05 15:00:00,CLOSE_LONG,56662.0,0.18848334159483135,,,,,,,,,504.50558739388,TAKE_PROFIT,11.0,10983.838314972185
2024-07-06 13:00:00,CLOSE_LONG,56991.1,0.18345130768159115,,,,,,,,,488.45744522875975,TAKE_PROFIT,31.0,11472.295760200945
2024-08-03 01:00:00,OPEN_LONG,61342.01,0.1861542397802326,60417.59142857143,64115.26571428571,924.4185714285715,"score=7,d=neutral,1h=bearish,RSI=20.5",bearish,neutral,20.473702195512743,11472.295760200945,,,,
2024-08-03 18:00:00,CLOSE_LONG,60243.97,0.1861542397802326,,,,,,,,,-213.4582997182206,STOP_LOSS,17.0,11258.837460482724
2024-08-05 00:00:00,OPEN_LONG,56174.02,0.1805025419774246,55238.39571428571,58980.892857142855,935.6242857142861,"score=7,d=neutral,1h=bearish,RSI=22.5",bearish,neutral,22.511151440289368,11258.837460482724,,,,
2024-08-05 01:00:00,CLOSE_LONG,54432.65,0.1805025419774246,,,,,,,,,-322.3076255610904,STOP_LOSS,1.0,10936.529834921634
2024-08-05 05:00:00,OPEN_LONG,52718.0,0.12162472292038248,51369.19571428571,56764.41285714286,1348.804285714286,"score=7,d=neutral,1h=bearish,RSI=18.8",bearish,neutral,18.774560329040867,10936.529834921634,,,,
2024-08-05 11:00:00,CLOSE_LONG,51340.0,0.12162472292038248,,,,,,,,,-172.66127835134648,STOP_LOSS,6.0,10763.868556570287
2024-08-05 12:00:00,OPEN_LONG,49804.0,0.08956200271964287,48001.24857142857,55212.25428571428,1802.7514285714283,"score=7,d=neutral,1h=bearish,RSI=12.1",bearish,neutral,12.14333472947881,10763.868556570287,,,,
2024-08-06 00:00:00,CLOSE_LONG,56038.0,0.08956200271964287,,,,,,,,,554.5377563575121,TAKE_PROFIT,12.0,11318.4063129278
2024-09-06 20:00:00,OPEN_LONG,52887.99,0.206054311062965,52064.05142857143,55359.805714285714,823.9385714285709,"score=7,d=neutral,1h=bearish,RSI=22.8",bearish,neutral,22.766345482555494,11318.4063129278,,,,
2024-09-09 10:00:00,CLOSE_LONG,55364.0,0.206054311062965,,,,,,,,,501.2702190467571,TAKE_PROFIT,62.0,11819.676531974557
2024-12-19 23:00:00,OPEN_LONG,97461.86,0.11461234606259904,95914.94857142857,102102.59428571428,1546.9114285714272,"score=7,d=neutral,1h=bearish,RSI=27.8",bearish,neutral,27.812423245196626,11819.676531974557,,,,
2024-12-20 00:00:00,OPEN_LONG,97248.22,0.11297546950209915,95678.89571428571,101956.19285714286,1569.3242857142843,"score=7,d=neutral,1h=bearish,RSI=22.6",bearish,neutral,22.64147542825559,11819.676531974557,,,,
2024-12-20 08:00:00,CLOSE_LONG,95473.74,0.11461234606259904,,,,,,,,,-236.70821815597083,STOP_LOSS,9.0,11582.968313818586
2024-12-20 08:00:00,CLOSE_LONG,95473.74,0.11297546950209915,,,,,,,,,-209.18185268783054,STOP_LOSS,8.0,11373.786461130756
2025-01-21 00:00:00,OPEN_LONG,101187.75,0.07789985215264475,98997.67142857143,107757.98571428572,2190.0785714285716,"score=8,d=neutral,1h=neutral,RSI=29.8",neutral,neutral,29.815267436586723,11373.786461130756,,,,
2025-01-21 01:00:00,OPEN_LONG,101498.24,0.07462687756691397,99212.1092857143,108356.63214285715,2286.1307142857145,"score=7,d=neutral,1h=bearish,RSI=30.0",bearish,neutral,29.96487511316218,11373.786461130756,,,,
2025-01-27 06:00:00,CLOSE_LONG,98956.32,0.07789985215264475,,,,,,,,,-180.06454447386568,STOP_LOSS,150.0,11193.72191665689
2025-01-27 06:00:00,CLOSE_LONG,98956.32,0.07462687756691397,,,,,,,,,-195.67927178762966,STOP_LOSS,149.0,10998.04264486926
2025-02-03 01:00:00,OPEN_LONG,93435.82,0.10573114219215315,91875.53571428572,98116.67285714287,1560.2842857142855,"score=7,d=neutral,1h=bearish,RSI=27.5",bearish,neutral,27.538883427497765,10998.04264486926,,,,
2025-02-03 04:00:00,OPEN_LONG,92786.53,0.08785277952987497,90908.72214285714,98419.95357142857,1877.807857142857,"score=7,d=neutral,1h=bearish,RSI=23.8",bearish,neutral,23.751031588484082,10998.04264486926,,,,
2025-02-03 15:00:00,CLOSE_LONG,98842.0,0.10573114219215315,,,,,,,,,563.4696848856474,TAKE_PROFIT,14.0,11561.512329754907
2025-02-03 15:00:00,CLOSE_LONG,98842.0,0.08785277952987497,,,,,,,,,525.2558312606843,TAKE_PROFIT,11.0,12086.768161015592
2025-02-25 16:00:00,OPEN_LONG,87460.0,0.13497120885549135,86116.73928571428,91489.78214285713,1343.2607142857128,"score=7,d=neutral,1h=bearish,RSI=20.7",bearish,neutral,20.693227471593886,12086.768161015592,,,,
2025-02-25 17:00:00,OPEN_LONG,87259.99,0.1323122502127233,85889.73500000002,91370.755,1370.2549999999974,"score=7,d=neutral,1h=bearish,RSI=20.7",bearish,neutral,20.749477620143907,12086.768161015592,,,,
2025-02-26 17:00:00,CLOSE_LONG,86051.33,0.13497120885549135,,,,,,,,,-199.4975063625534,STOP_LOSS,25.0,11887.270654653039
2025-02-26 18:00:00,CLOSE_LONG,84258.94,0.1323122502127233,,,,,,,,,-406.15330073384575,STOP_LOSS,25.0,11481.117353919193
