timestamp,type,price,size,sl,tp,atr,level,trend,rsi,capital,pnl,reason,hold_h,capital_after
2024-04-18 11:00:00,OPEN_SHORT,62597.92,0.2607639639102666,63173.15285714286,61159.837857142855,575.2328571428578,趋势=strong_bear(+4); RSI=66.4(+2); 距压力0.8%(+3),strong_bear,66.40069800963732,10000.0,,,,
2024-04-18 13:00:00,OPEN_SHORT,62810.0,0.2330205679487972,63453.72,61200.7,643.7200000000001,趋势=strong_bear(+4); RSI=68.7(+2); 距压力0.4%(+3),strong_bear,68.7156704953471,10000.0,,,,
2024-04-18 14:00:00,CLOSE_SHORT,63816.57,0.2607639639102666,,,,,,,,-330.965742022483,STOP_LOSS,3.0,9669.034257977517
2024-04-18 14:00:00,CLOSE_SHORT,63816.57,0.2330205679487972,,,,,,,,-246.35415118374112,STOP_LOSS,1.0,9422.680106793776
2024-04-26 03:00:00,OPEN_SHORT,64381.24,0.2937998895967938,64862.31642857143,63178.54892857143,481.07642857142906,趋势=bearish(+4); RSI=71.1(+4); 距压力1.4%(+3),bearish,71.14135381741886,9422.680106793776,,,,
2024-04-26 09:00:00,OPEN_SHORT,64474.99,0.36935891512811225,64857.65357142857,63518.33107142857,382.663571428572,趋势=bearish(+4); 距压力1.3%(+3),bearish,42.58366946470094,9422.680106793776,,,,
2024-04-26 15:00:00,CLOSE_SHORT,63503.22,0.36935891512811225,,,,,,,,340.0239558317917,TAKE_PROFIT,6.0,9762.704062625568
2024-04-26 21:00:00,OPEN_SHORT,64059.97,0.3072148909328648,64536.64142857143,62868.291428571436,476.6714285714266,趋势=bearish(+4); 距压力1.2%(+3),bearish,46.77585202618032,9762.704062625568,,,,
2024-04-27 01:00:00,CLOSE_SHORT,62593.28,0.2937998895967938,,,,,,,,510.38041062044067,TAKE_PROFIT,22.0,10273.084473246008
2024-04-27 01:00:00,CLOSE_SHORT,62593.28,0.3072148909328648,,,,,,,,435.02510262830765,TAKE_PROFIT,4.0,10708.109575874316
2024-04-27 17:00:00,OPEN_SHORT,63416.21,0.5040149478287109,63734.89428571428,62619.499285714286,318.6842857142848,趋势=bearish(+4); 距压力1.2%(+3),bearish,58.198169026482596,10708.109575874316,,,,
2024-04-27 19:00:00,OPEN_SHORT,63352.11,0.4551109109357619,63705.03857142857,62469.78857142857,352.92857142857036,趋势=bearish(+4); 距压力1.2%(+3),bearish,58.94127938975271,10708.109575874316,,,,
2024-04-28 02:00:00,CLOSE_SHORT,63950.0,0.5040149478287109,,,,,,,,-294.7159284768022,STOP_LOSS,9.0,10413.393647397514
2024-04-28 02:00:00,CLOSE_SHORT,63950.0,0.4551109109357619,,,,,,,,-295.28089423783604,STOP_LOSS,7.0,10118.112753159678
2024-04-28 03:00:00,OPEN_SHORT,64021.62,0.3940425787348543,64406.78571428572,63058.705714285716,385.16571428571376,趋势=strong_bear(+4); RSI=68.6(+2); 距压力0.5%(+3),strong_bear,68.59532758834108,10118.112753159678,,,,
2024-04-28 05:00:00,OPEN_SHORT,63953.99,0.4160057948918626,64318.82071428571,63041.91321428571,364.8307142857141,趋势=strong_bear(+4); RSI=73.3(+4); 距压力0.7%(+3),strong_bear,73.30400491075777,10118.112753159678,,,,
2024-04-29 02:00:00,CLOSE_SHORT,62706.33,0.3940425787348543,,,,,,,,498.30578009785677,TAKE_PROFIT,23.0,10616.418533257534
2024-04-29 02:00:00,CLOSE_SHORT,62706.33,0.4160057948918626,,,,,,,,497.9572192136402,TAKE_PROFIT,21.0,11114.375752471175
2024-05-02 15:00:00,OPEN_SHORT,59264.15,0.3437997828833516,59749.07071428571,58051.84821428572,484.9207142857148,趋势=strong_bear(+4); RSI=91.8(+4); 距压力0.3%(+3),strong_bear,91.81818888512483,11114.375752471175,,,,
2024-05-02 17:00:00,OPEN_SHORT,59190.24,0.3511476761131149,59665.01357142857,58003.30607142857,474.7735714285721,趋势=strong_bear(+4); RSI=83.4(+4); 距压力0.5%(+3),strong_bear,83.35165674144282,11114.375752471175,,,,
2024-05-03 03:00:00,CLOSE_SHORT,59720.3,0.3511476761131149,,,,,,,,-202.83140111506145,STOP_LOSS,10.0,10911.544351356113
2024-05-03 03:00:00,OPEN_SHORT,59720.3,0.30448069992144217,60257.84857142857,58376.42857142857,537.5485714285709,趋势=strong_bear(+4); RSI=67.3(+2); 距压力0.5%(+3),strong_bear,67.3138267417446,10911.544351356113,,,,
2024-05-03 12:00:00,CLOSE_SHORT,60641.0,0.3437997828833516,,,,,,,,-489.8500768775775,STOP_LOSS,21.0,10421.694274478536
2024-05-03 12:00:00,CLOSE_SHORT,60641.0,0.30448069992144217,,,,,,,,-294.9944575646514,STOP_LOSS,9.0,10126.699816913884
2024-05-08 17:00:00,OPEN_SHORT,62594.18,0.31344525729546036,63078.79571428571,61382.64071428572,484.6157142857129,趋势=bearish(+4); 距压力1.3%(+3),bearish,43.78665605581409,10126.699816913884,,,,
2024-05-08 19:00:00,OPEN_SHORT,62179.45,0.3205961086507476,62653.256428571425,60994.93392857143,473.8064285714271,趋势=bearish(+4); 距压力1.6%(+3),bearish,40.69890830062603,10126.699816913884,,,,
2024-05-08 22:00:00,CLOSE_SHORT,61251.01,0.31344525729546036,,,,,,,,405.4827912637993,TAKE_PROFIT,5.0,10532.182608177684
2024-05-09 10:00:00,CLOSE_SHORT,60805.99,0.3205961086507476,,,,,,,,424.55446999358173,TAKE_PROFIT,15.0,10956.737078171265
2024-05-09 15:00:00,OPEN_SHORT,62159.06,0.36200160576957624,62613.06642857143,61024.043928571424,454.00642857142935,趋势=bearish(+4); 距压力1.0%(+3),bearish,59.07823230812695,10956.737078171265,,,,
2024-05-09 20:00:00,CLOSE_SHORT,62624.7,0.36200160576957624,,,,,,,,-186.63119630812798,STOP_LOSS,5.0,10770.105881863137
2024-05-10 01:00:00,OPEN_SHORT,62883.5,0.3075629017800938,63408.76357142857,61570.34107142857,525.2635714285716,中性趋势(+1); RSI=72.1(+4); 距压力0.9%(+3),neutral,72.10156395342185,10770.105881863137,,,,
