timestamp,date,close,capital,pos_pnl,total_equity,n_pos,trend,rsi,atr,support,resistance,peak,dd,month
2024-04-17 20:00:00,2024-04-17,60846.79,10000.0,0.0,10000.0,0,bearish,25.639065749217465,913.7435714285722,59678.16,64499.0,10000.0,0.0,2024-04
2024-04-17 21:00:00,2024-04-17,61300.92,10000.0,0.0,10000.0,0,bearish,33.62777732228466,917.995000000001,59678.16,64499.0,10000.0,0.0,2024-04
2024-04-17 22:00:00,2024-04-17,61689.94,10000.0,0.0,10000.0,0,bearish,37.3381674744989,926.6500000000015,59678.16,64499.0,10000.0,0.0,2024-04
2024-04-17 23:00:00,2024-04-17,61277.37,10000.0,0.0,10000.0,0,bearish,35.125149455545014,944.9335714285729,59678.16,64499.0,10000.0,0.0,2024-04
2024-04-18 00:00:00,2024-04-18,61514.69,10000.0,0.0,10000.0,0,bearish,39.64835770054799,944.9035714285731,59678.16,64499.0,10000.0,0.0,2024-04
2024-04-18 01:00:00,2024-04-18,61639.26,10000.0,0.0,10000.0,0,bearish,42.651644688275034,920.6964285714301,59678.16,64499.0,10000.0,0.0,2024-04
2024-04-18 02:00:00,2024-04-18,61666.43,10000.0,0.0,10000.0,0,bearish,44.79213975474111,898.3814285714299,59678.16,64499.0,10000.0,0.0,2024-04
2024-04-18 03:00:00,2024-04-18,61988.0,10000.0,0.0,10000.0,0,bearish,44.82249371870343,878.2092857142873,59678.16,64499.0,10000.0,0.0,2024-04
2024-04-18 04:00:00,2024-04-18,61640.06,10000.0,0.0,10000.0,0,bearish,53.43342733021966,778.3835714285726,59678.16,64499.0,10000.0,0.0,2024-04
2024-04-18 05:00:00,2024-04-18,61072.02,10000.0,0.0,10000.0,0,bearish,57.921445433743486,719.2592857142871,59678.16,64000.0,10000.0,0.0,2024-04
2024-04-18 06:00:00,2024-04-18,61147.83,10000.0,0.0,10000.0,0,bearish,59.91026595720811,654.6028571428589,59678.16,63935.56,10000.0,0.0,2024-04
2024-04-18 07:00:00,2024-04-18,61178.08,10000.0,0.0,10000.0,0,bearish,48.70534442972925,595.6228571428588,59678.16,63587.88,10000.0,0.0,2024-04
2024-04-18 08:00:00,2024-04-18,61335.99,10000.0,0.0,10000.0,0,bearish,48.53701389554615,587.6942857142874,59678.16,63539.99,10000.0,0.0,2024-04
2024-04-18 09:00:00,2024-04-18,61636.5,10000.0,0.0,10000.0,0,bearish,58.47718482648603,562.21142857143,59678.16,63338.72,10000.0,0.0,2024-04
2024-04-18 10:00:00,2024-04-18,61821.75,10000.0,0.0,10000.0,0,bearish,63.42158444516641,544.0007142857155,59678.16,63163.11,10000.0,0.0,2024-04
2024-04-18 11:00:00,2024-04-18,62597.92,10000.0,0.0,10000.0,1,strong_bear,66.40069800963732,575.2328571428578,59678.16,63072.27,10000.0,0.0,2024-04
2024-04-18 12:00:00,2024-04-18,62232.96,10000.0,95.16841626869068,10095.16841626869,1,bearish,56.90858108312388,617.4128571428575,59678.16,63072.27,10095.16841626869,0.0,2024-04
2024-04-18 13:00:00,2024-04-18,62810.0,10000.0,-55.3028214660898,9944.69717853391,2,strong_bear,68.7156704953471,643.7200000000001,59678.16,63072.27,10095.16841626869,-1.4905272654222514,2024-04
2024-04-18 14:00:00,2024-04-18,63816.57,9422.680106793776,0.0,9422.680106793776,0,neutral,73.6635853742571,702.2849999999993,59678.16,63970.81,10095.16841626869,-6.6614867800637985,2024-04
2024-04-18 15:00:00,2024-04-18,63498.7,9422.680106793776,0.0,9422.680106793776,0,neutral,68.38459500182002,731.3235714285703,59678.16,64117.09,10095.16841626869,-6.6614867800637985,2024-04
2024-04-18 16:00:00,2024-04-18,63536.72,9422.680106793776,0.0,9422.680106793776,0,neutral,68.45228111783833,739.9978571428562,60119.11,64117.09,10095.16841626869,-6.6614867800637985,2024-04
2024-04-18 17:00:00,2024-04-18,62782.75,9422.680106793776,0.0,9422.680106793776,0,strong_bear,57.22459279566421,770.8764285714273,60727.38,64117.09,10095.16841626869,-6.6614867800637985,2024-04
2024-04-18 18:00:00,2024-04-18,63104.68,9422.680106793776,0.0,9422.680106793776,0,neutral,63.37723544561154,798.7321428571419,60727.38,64117.09,10095.16841626869,-6.6614867800637985,2024-04
2024-04-18 19:00:00,2024-04-18,63477.04,9422.680106793776,0.0,9422.680106793776,0,strong_bull,72.78076466953448,774.2957142857132,60777.0,64117.09,10095.16841626869,-6.6614867800637985,2024-04
2024-04-18 20:00:00,2024-04-18,63490.98,9422.680106793776,0.0,9422.680106793776,0,strong_bull,72.45794795608347,763.4992857142845,60803.35,64117.09,10095.16841626869,-6.6614867800637985,2024-04
2024-04-18 21:00:00,2024-04-18,63473.28,9422.680106793776,0.0,9422.680106793776,0,strong_bull,72.05142000689803,770.0399999999988,60803.35,64117.09,10095.16841626869,-6.6614867800637985,2024-04
2024-04-18 22:00:00,2024-04-18,63499.73,9422.680106793776,0.0,9422.680106793776,0,strong_bull,71.32713287097307,755.9607142857136,60803.35,64117.09,10095.16841626869,-6.6614867800637985,2024-04
2024-04-18 23:00:00,2024-04-18,63470.08,9422.680106793776,0.0,9422.680106793776,0,strong_bull,69.09231384372433,748.7964285714277,60803.35,64117.09,10095.16841626869,-6.6614867800637985,2024-04
2024-04-19 00:00:00,2024-04-19,62711.08,9422.680106793776,0.0,9422.680106793776,0,bullish,58.271867669448675,776.6464285714277,60803.35,64117.09,10095.16841626869,-6.6614867800637985,2024-04
2024-04-19 01:00:00,2024-04-19,61022.0,9422.680106793776,0.0,9422.680106793776,0,neutral,37.46990557425856,841.3971428571422,60618.97,64117.09,10095.16841626869,-6.6614867800637985,2024-04
2024-04-19 02:00:00,2024-04-19,61359.58,9422.680106793776,0.0,9422.680106793776,0,neutral,43.0254138210715,887.1485714285706,59600.01,64117.09,10095.16841626869,-6.6614867800637985,2024-04
2024-04-19 03:00:00,2024-04-19,61785.14,9422.680106793776,0.0,9422.680106793776,0,bearish,41.61281769257013,889.427142857142,59600.01,64117.09,10095.16841626869,-6.6614867800637985,2024-04
2024-04-19 04:00:00,2024-04-19,62439.49,9422.680106793776,0.0,9422.680106793776,0,bearish,38.04090692769849,862.8114285714281,59600.01,64117.09,10095.16841626869,-6.6614867800637985,2024-04
2024-04-19 05:00:00,2024-04-19,62073.38,9422.680106793776,0.0,9422.680106793776,0,bearish,37.724822157525786,874.2271428571429,59600.01,64117.09,10095.16841626869,-6.6614867800637985,2024-04
2024-04-19 06:00:00,2024-04-19,64624.37,9422.680106793776,0.0,9422.680106793776,0,strong_bull,56.53740321468707,1057.0992857142858,59600.01,64953.85,10095.16841626869,-6.6614867800637985,2024-04
2024-04-19 07:00:00,2024-04-19,64547.18,9422.680106793776,0.0,9422.680106793776,0,strong_bull,61.54446085980217,1057.0,59600.01,65179.0,10095.16841626869,-6.6614867800637985,2024-04
2024-04-19 08:00:00,2024-04-19,64639.02,9422.680106793776,0.0,9422.680106793776,0,strong_bull,60.350657060351764,1063.564285714286,59600.01,65179.0,10095.16841626869,-6.6614867800637985,2024-04
2024-04-19 09:00:00,2024-04-19,64775.93,9422.680106793776,0.0,9422.680106793776,0,strong_bull,59.04979550884741,1061.6621428571432,59600.01,65179.0,10095.16841626869,-6.6614867800637985,2024-04
2024-04-19 10:00:00,2024-04-19,64777.7,9422.680106793776,0.0,9422.680106793776,0,strong_bull,58.98023221079273,1092.22,59600.01,65213.31,10095.16841626869,-6.6614867800637985,2024-04
2024-04-19 11:00:00,2024-04-19,64870.74,9422.680106793776,0.0,9422.680106793776,0,strong_bull,59.65160673634665,1109.7914285714287,59600.01,65450.0,10095.16841626869,-6.6614867800637985,2024-04
2024-04-19 12:00:00,2024-04-19,64965.19,9422.680106793776,0.0,9422.680106793776,0,strong_bull,60.02706800664463,1122.768571428571,59600.01,65450.0,10095.16841626869,-6.6614867800637985,2024-04
2024-04-19 13:00:00,2024-04-19,64903.71,9422.680106793776,0.0,9422.680106793776,0,strong_bull,59.766736836356905,1147.2728571428565,59600.01,65450.0,10095.16841626869,-6.6614867800637985,2024-04
2024-04-19 14:00:00,2024-04-19,64452.12,9422.680106793776,0.0,9422.680106793776,0,strong_bull,62.37951404589809,1170.821428571428,59600.01,65450.0,10095.16841626869,-6.6614867800637985,2024-04
2024-04-19 15:00:00,2024-04-19,64437.17,9422.680106793776,0.0,9422.680106793776,0,strong_bull,81.87095100421345,1043.4885714285706,59600.01,65450.0,10095.16841626869,-6.6614867800637985,2024-04
2024-04-19 16:00:00,2024-04-19,64005.76,9422.680106793776,0.0,9422.680106793776,0,strong_bull,74.26957759497984,988.9692857142852,59600.01,65450.0,10095.16841626869,-6.6614867800637985,2024-04
2024-04-19 17:00:00,2024-04-19,64627.8,9422.680106793776,0.0,9422.680106793776,0,strong_bull,75.16465655826977,982.6135714285712,59600.01,65450.0,10095.16841626869,-6.6614867800637985,2024-04
2024-04-19 18:00:00,2024-04-19,64202.63,9422.680106793776,0.0,9422.680106793776,0,strong_bull,66.26831077662919,949.9507142857141,59600.01,65450.0,10095.16841626869,-6.6614867800637985,2024-04
2024-04-19 19:00:00,2024-04-19,64325.25,9422.680106793776,0.0,9422.680106793776,0,strong_bull,71.75530630184801,911.3135714285709,59600.01,65450.0,10095.16841626869,-6.6614867800637985,2024-04
