timestamp,hour,date,close,capital,position_pnl,total_equity,n_positions,trend,rsi,atr,kelly,support,resistance,peak,dd,month
2024-04-17 20:00:00,2024-04-17 20:00,2024-04-17,60846.79,10000.0,0.0,10000.0,1,bearish,25.639065749217465,913.7435714285722,0.15,59678.16,64499.0,10000.0,0.0,2024-04
2024-04-17 21:00:00,2024-04-17 21:00,2024-04-17,61300.92,10000.0,66.26658568114433,10066.266585681144,1,bearish,33.62777732228466,917.995000000001,0.15,59678.16,64499.0,10066.266585681144,0.0,2024-04
2024-04-17 22:00:00,2024-04-17 22:00,2024-04-17,61689.94,10000.0,123.03232932653042,10123.03232932653,1,bearish,37.3381674744989,926.6500000000015,0.15,59678.16,64499.0,10123.03232932653,0.0,2024-04
2024-04-17 23:00:00,2024-04-17 23:00,2024-04-17,61277.37,10000.0,62.830172995810464,10062.830172995811,1,bearish,35.125149455545014,944.9335714285729,0.15,59678.16,64499.0,10123.03232932653,-0.5947047719714642,2024-04
2024-04-18 00:00:00,2024-04-18 00:00,2024-04-18,61514.69,10000.0,97.45987399299023,10097.45987399299,1,bearish,39.64835770054799,944.9035714285731,0.15,59678.16,64499.0,10123.03232932653,-0.25261655304069985,2024-04
2024-04-18 01:00:00,2024-04-18 01:00,2024-04-18,61639.26,10000.0,115.63711085974683,10115.637110859747,2,bearish,42.651644688275034,920.6964285714301,0.15,59678.16,64499.0,10123.03232932653,-0.0730533917723372,2024-04
2024-04-18 02:00:00,2024-04-18 02:00,2024-04-18,61666.43,10000.0,115.66705079716456,10115.667050797165,3,bearish,44.79213975474111,898.3814285714299,0.15,59678.16,64499.0,10123.03232932653,-0.07275763120925687,2024-04
2024-04-18 03:00:00,2024-04-18 03:00,2024-04-18,61988.0,10000.0,68.29557359688455,10068.295573596884,3,bearish,44.82249371870343,878.2092857142873,0.15,59678.16,64499.0,10123.03232932653,-0.5407150145226023,2024-04
2024-04-18 04:00:00,2024-04-18 04:00,2024-04-18,61640.06,10000.0,119.55169754210813,10119.551697542109,3,bearish,53.43342733021966,778.3835714285726,0.15,59678.16,64499.0,10123.03232932653,-0.03438329219139132,2024-04
2024-04-18 05:00:00,2024-04-18 05:00,2024-04-18,61072.02,10000.0,203.23143728414598,10203.231437284147,3,bearish,57.921445433743486,719.2592857142871,0.15,59678.16,64000.0,10203.231437284147,0.0,2024-04
2024-04-18 06:00:00,2024-04-18 06:00,2024-04-18,61147.83,10000.0,192.06363031660095,10192.063630316601,3,bearish,59.91026595720811,654.6028571428589,0.15,59678.16,63935.56,10203.231437284147,-0.10945362786476205,2024-04
2024-04-18 07:00:00,2024-04-18 07:00,2024-04-18,61178.08,10000.0,187.6074086998193,10187.60740869982,3,bearish,48.70534442972925,595.6228571428588,0.15,59678.16,63587.88,10203.231437284147,-0.15312823864049896,2024-04
