timestamp,hour,date,close,capital,total_equity,positions,pending_orders,kelly,atr,support,resistance,peak,dd,month
2024-04-18 12:00:00,2024-04-18 12:00,2024-04-18,62232.96,10000.0,10000.0,0,0,0.15,617.4128571428575,62000.0,62366.96294604701,10000.0,0.0,2024-04
2024-04-18 13:00:00,2024-04-18 13:00,2024-04-18,62810.0,10000.0,10000.0,0,1,0.15,643.7200000000001,62475.45283333333,63000.0,10000.0,0.0,2024-04
2024-04-18 14:00:00,2024-04-18 14:00,2024-04-18,63816.57,10000.0,10000.0,0,1,0.15,702.2849999999993,62475.45283333333,63000.0,10000.0,0.0,2024-04
2024-04-18 15:00:00,2024-04-18 15:00,2024-04-18,63498.7,10000.0,10000.0,0,1,0.15,731.3235714285703,62475.45283333333,63000.0,10000.0,0.0,2024-04
2024-04-18 16:00:00,2024-04-18 16:00,2024-04-18,63536.72,10000.0,10000.0,0,1,0.15,739.9978571428562,62475.45283333333,63000.0,10000.0,0.0,2024-04
2024-04-18 17:00:00,2024-04-18 17:00,2024-04-18,62782.75,10000.0,10000.0,1,0,0.15,770.8764285714273,62510.2825,63000.0,10000.0,0.0,2024-04
2024-04-18 18:00:00,2024-04-18 18:00,2024-04-18,63104.68,10000.0,10005.12768236498,1,1,0.15,798.7321428571419,63000.0,63864.55197131562,10005.12768236498,0.0,2024-04
2024-04-18 19:00:00,2024-04-18 19:00,2024-04-18,63477.04,10000.0,10011.058610844539,2,2,0.15,774.2957142857132,63000.0,64028.56842214884,10011.058610844539,0.0,2024-04
2024-04-18 20:00:00,2024-04-18 20:00,2024-04-18,63490.98,10000.0,10011.061039392487,2,2,0.15,763.4992857142845,63000.0,64028.56842214884,10011.061039392487,0.0,2024-04
2024-04-18 21:00:00,2024-04-18 21:00,2024-04-18,63473.28,10000.0,10011.057955798608,2,2,0.15,770.0399999999988,63000.0,64028.56842214884,10011.061039392487,-3.080186872803562e-05,2024-04
2024-04-18 22:00:00,2024-04-18 22:00,2024-04-18,63499.73,10000.0,10011.062563767991,2,2,0.15,755.9607142857136,63000.0,64028.56842214884,10011.062563767991,0.0,2024-04
2024-04-18 23:00:00,2024-04-18 23:00,2024-04-18,63470.08,10000.0,10011.057398312709,2,2,0.15,748.7964285714277,63000.0,64028.56842214884,10011.062563767991,-5.1597472792917454e-05,2024-04
2024-04-19 00:00:00,2024-04-19 00:00,2024-04-19,62711.08,10000.0,10010.925169626069,3,1,0.15,776.6464285714277,63000.0,64028.56842214884,10011.062563767991,-0.0013724231673435977,2024-04
2024-04-19 01:00:00,2024-04-19 01:00,2024-04-19,61022.0,-1133605.9479999808,-1133605.9479999808,0,1,0.15,841.3971428571422,63000.0,64028.56842214884,10011.062563767991,-11423.53274968757,2024-04
2024-04-19 02:00:00,2024-04-19 02:00,2024-04-19,61359.58,-1133605.9479999808,-1133605.9479999808,0,1,0.15,887.1485714285706,63000.0,64028.56842214884,10011.062563767991,-11423.53274968757,2024-04
2024-04-19 03:00:00,2024-04-19 03:00,2024-04-19,61785.14,-1133605.9479999808,-1133605.9479999808,0,1,0.15,889.427142857142,63000.0,64028.56842214884,10011.062563767991,-11423.53274968757,2024-04
2024-04-19 04:00:00,2024-04-19 04:00,2024-04-19,62439.49,-1133605.9479999808,-1133605.9479999808,0,1,0.15,862.8114285714281,63000.0,64028.56842214884,10011.062563767991,-11423.53274968757,2024-04
2024-04-19 05:00:00,2024-04-19 05:00,2024-04-19,62073.38,-1133605.9479999808,-1133605.9479999808,0,1,0.15,874.2271428571429,63000.0,64028.56842214884,10011.062563767991,-11423.53274968757,2024-04
