signal,composite,technical_score,ai_score,price_score,rsi,macd,fear_greed,price_change_24h_pct,close,timestamp
BUY,67,76,52,80,61.54446085981345,271.0004017426327,75,5.507037814851334,64547.18,2024-04-19 07:00:00
BUY,67,76,52,80,60.350657060363154,381.59910173791286,75,5.385141741414778,64639.02,2024-04-19 08:00:00
BUY,67,76,52,80,59.049795508858935,474.82339259759465,75,5.093459232759812,64775.93,2024-04-19 09:00:00
BUY,64,76,45,80,58.980232210804246,542.5924707059166,75,4.781407837856411,64777.7,2024-04-19 10:00:00
BUY,64,76,45,80,59.65160673635819,596.9265065947038,75,3.6308235161807367,64870.74,2024-04-19 11:00:00
BUY,64,76,45,80,60.02706800665614,640.2277995948098,75,4.390326283692758,64965.19,2024-04-19 12:00:00
BUY,64,76,45,80,59.76673683636831,661.95288328897,75,3.3334023244706135,64903.71,2024-04-19 13:00:00
NEUTRAL,57,76,37,60,62.379514045910504,635.4060641514734,75,0.9959012212658935,64452.12,2024-04-19 14:00:00
NEUTRAL,57,68,45,60,81.87095100423485,606.1735868881733,68,1.4779357687637829,64437.17,2024-04-19 15:00:00
NEUTRAL,58,72,45,60,74.2695775949989,541.9482148227617,68,0.7382187812024377,64005.76,2024-04-19 16:00:00
BUY,64,68,52,80,75.16465655828841,535.0745675940416,67,2.93878493694526,64627.8,2024-04-19 17:00:00
NEUTRAL,58,72,45,60,66.2683107766463,489.67482041948097,67,1.7398868039581128,64202.63,2024-04-19 18:00:00
NEUTRAL,58,72,45,60,71.75530630186742,458.30653052010166,68,1.33624693274923,64325.25,2024-04-19 19:00:00
BUY,60,83,37,60,40.014799008810584,406.0802460630948,75,0.871194616936144,64044.11,2024-04-19 20:00:00
NEUTRAL,58,79,37,60,47.661360765658486,388.7905901943377,75,1.457369148088783,64398.32,2024-04-19 21:00:00
BUY,60,83,37,60,40.989472473105984,340.036237702363,75,0.8075152445530032,64012.5,2024-04-19 22:00:00
NEUTRAL,56,74,37,60,36.447775721666744,282.44845455107134,75,0.5481795516879773,63818.01,2024-04-19 23:00:00
NEUTRAL,58,78,37,60,32.93368254772906,204.31616342625784,74,1.1695381422230255,63444.51,2024-04-20 00:00:00
BUY,65,78,45,80,34.907662336371544,157.64401324669598,74,4.31647602504015,63656.0,2024-04-20 01:00:00
BUY,63,74,45,80,36.23187347398805,133.48202648781444,74,4.032687316308214,63834.02,2024-04-20 02:00:00
BUY,63,74,45,80,38.6322908145273,122.76113057714974,74,3.5135632936981187,63956.0,2024-04-20 03:00:00
BUY,62,71,45,80,45.903218102113264,127.0878231761817,74,2.712353992641514,64133.07,2024-04-20 04:00:00
BUY,62,71,45,80,46.43818391811295,131.09787779734324,74,3.359926590109974,64159.0,2024-04-20 05:00:00
NEUTRAL,47,71,27,40,50.56198259540874,123.73700460540567,75,-0.8948636559242273,64046.07,2024-04-20 06:00:00
NEUTRAL,48,74,27,40,39.06966371727849,109.79116943103872,76,-0.9078010844160822,63961.22,2024-04-20 07:00:00
NEUTRAL,48,74,27,40,41.71551428311307,79.12498894477903,76,-1.407153140626205,63729.45,2024-04-20 08:00:00
NEUTRAL,48,74,27,40,37.52932252672388,45.06795307725406,76,-1.7922089269887698,63615.01,2024-04-20 09:00:00
NEUTRAL,48,74,27,40,40.88010618805533,14.0639739436956,76,-1.8685751423715202,63567.28,2024-04-20 10:00:00
NEUTRAL,46,68,27,40,35.60050168547983,0.772150133147079,76,-1.7936746212545152,63707.17,2024-04-20 11:00:00
NEUTRAL,41,56,27,40,45.579070858751805,-0.3243175262105069,77,-1.7564945165249313,63824.08,2024-04-20 12:00:00
NEUTRAL,44,65,27,40,51.44670918931962,2.9245960458138143,77,-1.5841621380349502,63875.53,2024-04-20 13:00:00
NEUTRAL,45,67,27,40,64.65781897674194,10.207082792607252,77,-0.8018200177123735,63935.33,2024-04-20 14:00:00
NEUTRAL,55,72,37,60,74.66724320251389,85.43903585299995,75,0.5760339878365217,64808.35,2024-04-20 15:00:00
NEUTRAL,55,72,37,60,70.32484911625232,137.8947365601125,75,1.1459593636572674,64739.24,2024-04-20 16:00:00
NEUTRAL,55,72,37,60,74.24327463498668,214.17684125588858,75,0.885377500085105,65200.0,2024-04-20 17:00:00
NEUTRAL,55,72,37,60,65.8319679939035,252.68222993484233,75,1.1860261799244043,64964.09,2024-04-20 18:00:00
NEUTRAL,57,76,37,60,63.119107491228505,272.1809563364659,75,0.8413336908912106,64866.44,2024-04-20 19:00:00
NEUTRAL,57,76,37,60,62.519240730468105,273.2835943282116,75,1.0672800355879808,64727.64,2024-04-20 20:00:00
NEUTRAL,57,76,37,60,64.49012846261702,270.90071988495765,75,0.508802092973859,64725.98,2024-04-20 21:00:00
NEUTRAL,55,72,37,60,67.54365772344826,256.97464196065266,75,0.9388947471197007,64613.51,2024-04-20 22:00:00
NEUTRAL,55,72,37,60,74.25811788129877,269.22726305174,75,1.7590332258871744,64940.59,2024-04-20 23:00:00
BUY,62,72,45,80,70.81413692969247,261.35114267521567,75,2.0734181728253587,64759.98,2024-04-21 00:00:00
BUY,62,72,45,80,71.27659939888377,267.0412347713791,75,2.026517531733063,64946.0,2024-04-21 01:00:00
BUY,62,72,45,80,73.42268611366268,296.5350535387988,75,2.2934009169405245,65297.99,2024-04-21 02:00:00
NEUTRAL,55,72,37,60,70.08256615997557,306.05340096581494,75,1.8981799987491499,65170.0,2024-04-21 03:00:00
NEUTRAL,55,72,37,60,67.09865825264652,300.92899053437577,75,1.4390859505088338,65056.0,2024-04-21 04:00:00
NEUTRAL,58,79,37,60,54.511479130348995,291.235973922463,76,1.3541514051029546,65027.81,2024-04-21 05:00:00
NEUTRAL,57,76,37,60,56.47770136741462,281.9341976718424,76,1.5644051227499345,65048.01,2024-04-21 06:00:00
NEUTRAL,58,79,37,60,48.781860736117636,279.62215989518154,77,1.8596268176248154,65150.66,2024-04-21 07:00:00
NEUTRAL,58,79,37,60,49.07458000933877,256.768772350566,77,1.8788487896882922,64926.83,2024-04-21 08:00:00
BUY,65,79,45,80,50.87229660144174,233.82279894836392,77,2.020450833851939,64900.32,2024-04-21 09:00:00
BUY,64,76,45,80,56.10722573072977,217.50338618084788,77,2.182301964155142,64954.51,2024-04-21 10:00:00
BUY,64,76,45,80,61.8963765027655,224.535146705668,77,2.396653312335184,65234.01,2024-04-21 11:00:00
NEUTRAL,57,76,37,60,58.67313642881552,209.15632493216253,76,1.8490826659780968,65004.24,2024-04-21 12:00:00
NEUTRAL,58,79,37,60,48.56936352670579,184.9725036004238,77,1.5756738143699156,64882.0,2024-04-21 13:00:00
NEUTRAL,58,79,37,60,53.55374804373505,164.83449539349385,77,1.4986549690132245,64893.5,2024-04-21 14:00:00
NEUTRAL,58,79,37,60,52.650657983991366,159.15936650893855,77,0.36313221984514144,65043.69,2024-04-21 15:00:00
NEUTRAL,48,78,22,40,31.605558054885563,115.779714345721,87,-0.2484891697832614,64578.37,2024-04-21 16:00:00
NEUTRAL,48,74,27,40,41.601181626860836,99.90825223100546,76,-0.5797546012269894,64822.0,2024-04-21 17:00:00
NEUTRAL,48,74,27,40,42.92730061960837,82.34618644617876,76,-0.2956864323043651,64772.0,2024-04-21 18:00:00
NEUTRAL,46,74,22,40,38.935998156790404,48.98164845014253,86,-0.5063327045541577,64538.0,2024-04-21 19:00:00
NEUTRAL,46,74,22,40,41.27004127742771,30.912091348407557,86,-0.1258658588510264,64646.17,2024-04-21 20:00:00
NEUTRAL,46,74,22,40,38.95943785619439,17.64161679463723,86,-0.09931097219386675,64661.7,2024-04-21 21:00:00
NEUTRAL,53,71,32,60,52.19538247000124,36.457038534055755,86,0.6452365766849599,65030.42,2024-04-21 22:00:00
NEUTRAL,55,71,37,60,50.842887990652514,43.66174743491865,76,0.0008623266280816111,64941.15,2024-04-21 23:00:00
NEUTRAL,53,71,32,60,49.0510535284975,46.24102936653799,86,0.23004948426481597,64908.96,2024-04-22 00:00:00
NEUTRAL,46,74,22,40,37.855525429160515,27.71526986149547,86,-0.4434453238074676,64658.0,2024-04-22 01:00:00
NEUTRAL,48,79,22,40,45.68745333804873,24.746252928918693,86,-0.7523968195651931,64806.69,2024-04-22 02:00:00
NEUTRAL,55,76,32,60,63.40139250500821,93.6784903415246,85,0.8186282031609649,65703.5,2024-04-22 03:00:00
NEUTRAL,55,76,32,60,63.67963321525936,149.40809526204248,85,1.0490654205607353,65738.48,2024-04-22 04:00:00
BUY,62,72,45,80,68.6470381074298,242.38327751872566,84,2.0763116580429397,66377.99,2024-04-22 05:00:00
NEUTRAL,54,68,37,60,76.98099014245632,306.243454186857,75,1.9247168360723155,66300.0,2024-04-22 06:00:00
NEUTRAL,55,72,37,60,67.72365786912039,327.2593367138761,84,1.2729571734192646,65980.0,2024-04-22 07:00:00
NEUTRAL,55,72,37,60,68.38493708329845,338.52671662291687,84,1.5937325139699476,65961.59,2024-04-22 08:00:00
NEUTRAL,55,72,37,60,73.14187290483396,341.6147582425765,84,1.59888271737334,65938.0,2024-04-22 09:00:00
NEUTRAL,55,72,37,60,73.15970834173035,348.93040614124766,74,1.6837475950476577,66048.18,2024-04-22 10:00:00
NEUTRAL,55,72,37,60,69.10380545629974,337.06773248760146,74,0.9863873154509317,65877.47,2024-04-22 11:00:00
NEUTRAL,55,72,37,60,66.46129703544506,333.34629036593833,74,1.5248851459535473,65995.48,2024-04-22 12:00:00
NEUTRAL,53,72,32,60,69.80797486953438,336.0863993547682,85,1.89883172528591,66114.0,2024-04-22 13:00:00
NEUTRAL,55,72,37,60,68.6476737117975,327.843505834855,84,1.754058572892525,66031.77,2024-04-22 14:00:00
NEUTRAL,55,72,37,60,73.88935366926246,314.66661198493966,75,1.4616175681299692,65994.38,2024-04-22 15:00:00
BUY,62,72,45,80,73.99774983266167,313.54834344742994,75,2.441003078894677,66154.73,2024-04-22 16:00:00
BUY,62,72,45,80,68.20742314356124,339.8327958075388,76,2.6503347628891394,66540.0,2024-04-22 17:00:00
BUY,64,76,45,80,61.992966381895606,339.8944858810428,76,2.4071666769591715,66331.17,2024-04-22 18:00:00
BUY,65,79,45,80,53.624054358346335,351.51325176905084,77,3.07844990548205,66524.77,2024-04-22 19:00:00
BUY,64,76,45,80,55.337960415010535,355.3923047950375,77,2.8823517309687574,66509.5,2024-04-22 20:00:00
