symbol,signal,score,price,change_24h,support,resistance
BTC,NEUTRAL,57,74642.19,0.655,70910.0805,78374.29950000001
ETH,NEUTRAL,57,2339.76,0.466,2222.772,2456.7480000000005
SOL,BUY,63,85.04,2.212,80.788,89.29200000000002
